source,target,follower_count
91798372,559525816,10
91798372,1588562628401561600,23
91798372,1381406496005758978,85
91798372,118787477,13
91798372,1934719434,175
91798372,1564716626192187392,319
91798372,1534186807281299461,331
91798372,1378272283152674816,250
91798372,1588801935062228993,20
91798372,1094430135879651328,4
91798372,1398666615005323264,570
91798372,1582445298210988032,24
91798372,804570686689677312,445
91798372,1587893404490514433,2
91798372,1575137230791778308,4
91798372,1238951157965471744,2
91798372,2336530772,147
91798372,1587530013418704898,96
91798372,2705801340,9
91798372,1583711014952263680,49
91798372,3534510193,195
91798372,1876001660,18
91798372,556250646,453
91798372,1587090313876733952,0
91798372,1580204096165920769,0
91798372,1575495921974259712,3
91798372,1308885054660259840,375
91798372,1576407554896248833,1
91798372,172188274,24
91798372,1567017520498114565,36
91798372,1583750751641223168,11
91798372,869371088,6
91798372,132882425,151
91798372,60342519,2260
91798372,1583474890912550917,255
91798372,1584855162937434112,2
91798372,1382046926271434753,3
91798372,1446471851425796140,600
91798372,1572990727814057986,45
91798372,77033296,51
91798372,141664648,13986756
91798372,492297706,106
91798372,1206950387862908929,5
91798372,1434694900348592130,54
91798372,1455629878506762240,6
91798372,1136707891782569986,144
91798372,1583946568683724802,79
91798372,203510016,1538
91798372,1528965663003648002,54
91798372,1579398095766491136,1085
91798372,1571781891824435203,4
91798372,1407731512284434434,57
91798372,24537084,50
91798372,821343030137487360,10
91798372,1516018360655712262,0
91798372,1585532742632177665,1
91798372,1143219283121410048,70
91798372,1064481026682970113,2422
91798372,2783619570,12
91798372,741694308,22
91798372,1524170524024311814,13
91798372,1575869801268117504,5
91798372,1557275680282673152,237
91798372,1570053608951140353,54
91798372,1356100076452663297,1939
91798372,353897558,534
91798372,798299229492015104,10
91798372,1458363416364519430,5
91798372,1340730255347240963,5
91798372,1568485003088076801,453
91798372,1411770094212976647,173
91798372,3044755817,64
91798372,1583081444414742532,1
91798372,1293987557911527425,5210
91798372,1583477242373480450,7
91798372,5726422,147
91798372,1574437779324313603,3
91798372,1250095210421313536,21
91798372,601606782,123
91798372,892995712668934144,138
91798372,568724535,14
91798372,167358946,5
91798372,1482314657507467269,2711
91798372,1445773703388676112,50
91798372,1581173850045235201,20
91798372,880619377,23
91798372,6884,9364
91798372,3403899959,405
91798372,70780857,128
91798372,1426818051752689664,358
91798372,1441849764237103109,13
91798372,1579369707290828800,27
91798372,1581482841279320066,0
91798372,1559761477514301440,2
91798372,1084088148777361409,2
91798372,1457134016994299905,498
91798372,1368821690248101888,30
91798372,1581089630061051905,7
91798372,1572595122298142720,434
91798372,1574538344565972992,2
91798372,1559941398513782789,13
91798372,1580928286506602497,0
