index,Id,degree,group
0,3438377813,492,3
1,1177652811800051712,480,0
2,1658183904,453,3
3,706520610361331712,434,1
4,982780028084674567,431,2
5,2409040759,430,3
6,1273283660901466112,425,3
7,1109896806010376194,381,1
8,966741681881088000,376,3
9,1186475654784716800,373,3
10,971865697562382336,329,0
11,2446545337,328,3
12,702569415443779584,325,1
13,842479889542533124,291,0
14,22275767,284,2
15,3782648474,278,3
16,289061626,273,2
17,1094621587247030272,261,1
18,1246393471,253,1
19,476926394,252,1
20,3031588833,240,3
21,986162093308219392,223,2
22,883529255853867008,160,2
23,23429613,153,2
24,1241587276976517122,145,1
25,31155713,139,1
26,53987498,135,2
27,1172329872821063687,133,3
28,1010647767377743873,133,0
29,885866101,113,2
30,19723107,106,2
31,328242786,106,1
32,1204435011656716288,96,3
33,1256199229770469377,93,0
34,220186384,88,1
35,4492057458,59,1
36,629460644,57,0
37,923081020315910144,52,1
38,732066798,50,1
39,901847484074299392,44,2
40,1044580384166608897,38,2
41,1115726343465869317,36,1
42,65053719,31,2
43,17717593,25,2
44,21130829,24,2
45,1045976040877756421,23,2
46,1038008614588489728,23,2
47,758050879354175488,23,2
48,24733117,23,2
49,759201072397357056,22,2
50,2517897416,22,0
51,19081489,22,3
52,979212105533440000,22,0
53,826631824700997633,22,0
54,43601834,22,0
55,1204253600215515146,21,0
56,195870839,21,2
57,465562204,21,0
58,1357131432804700160,21,1
59,146213826,21,3
60,961113187453165569,21,2
61,745161748731203584,20,0
62,749004810767118336,20,1
63,825854633373483011,20,2
64,3334843313,20,2
65,796261392,20,2
66,1133463477656457216,20,0
67,3033305103,19,0
68,1473587414,19,3
69,163299688,19,1
70,251705823,19,3
71,1005557387376279552,19,3
72,851957238419902464,19,3
73,810818800627175425,19,1
74,15545122,19,3
75,956955048185131008,19,3
76,1267106393540030465,19,3
77,946344888,19,3
78,524024759,19,2
79,351153307,19,0
80,1315355821,19,2
81,2402915880,19,0
82,254254793,19,2
83,101017453,19,1
84,19077091,19,0
85,1078394360545374209,18,1
86,1258014527771349000,18,0
87,22290536,18,0
88,1319773183646568448,18,1
89,823535138432749569,18,3
90,2658640056,18,1
91,2827770165,18,3
92,217506104,18,1
93,431071870,18,2
94,1129683662,18,3
95,352848671,18,1
96,4364923707,18,3
97,4896679942,18,2
98,1117771561824600064,18,3
99,387720178,18,2
100,386667599,18,1
101,2186755171,18,0
102,1178452608794726401,18,0
103,1134546351956615168,18,2
104,61935527,18,3
105,311805941,18,3
106,3910760593,17,2
107,121784473,17,1
108,969138694308421632,17,2
109,825776310790266883,17,2
110,2736359780,17,1
111,1264454585181024256,17,3
112,1094713876132872192,17,2
113,831726373584650241,17,3
114,271075882,17,2
115,840047434927656961,17,0
116,44384976,17,2
117,3193455540,17,0
118,1358568285873274880,17,1
119,2808650785,17,2
120,1085597192155467776,17,3
121,1183424489016758273,17,2
122,1312895010212323335,17,1
123,1023045913994919936,17,0
124,18082945,17,2
125,1057021559896981504,17,3
126,1113259788,17,3
127,945693405694357504,17,1
128,827919653032882178,17,3
129,219588553,17,3
130,757230631797395456,16,2
131,799718923541291008,16,2
132,740244738738126849,16,3
133,2992517678,16,3
134,1184605128449413121,16,2
135,71232154,16,3
136,281615096,16,2
137,1280454331410440192,16,0
138,18535177,16,2
139,23554832,16,2
140,366498596,16,2
141,1209871580026683392,16,1
142,1083612928270430209,16,1
143,29918146,16,0
144,1305141398795030528,16,1
145,3938173949,16,0
146,36588590,16,0
147,1090040316629966848,16,1
148,18650281,16,3
149,877579574921445376,16,2
150,1273759669563998209,16,3
151,1194152189142417408,16,3
152,1252324904,16,1
153,1028382947605401600,16,3
154,1008534511540424704,16,3
155,4240506557,16,0
156,2731007693,16,1
157,26824556,16,2
158,23132135,16,3
159,1312915012567040001,15,1
160,3130855439,15,3
161,3237195795,15,2
162,1223404718828945413,15,1
163,810355017257455620,15,1
164,2796980429,15,2
165,1918204129,15,0
166,831649277881491457,15,1
167,459718919,15,3
168,3041884596,15,3
169,67035595,15,3
170,789474411980226560,15,3
171,1929030181,15,3
172,1204148347164119041,15,1
173,786398442201374721,15,3
174,1357241280913432577,15,1
175,1262456293157003272,15,3
176,1026282888474443776,15,3
177,850765289641963522,15,2
178,87983041,15,2
179,835640727942103043,15,0
180,1073777869791191040,15,1
181,945814887950946304,15,3
182,2896151700,15,2
183,77329593,15,2
184,880805961170132992,15,0
185,742004164994048001,15,3
186,1087001024089464833,15,3
187,979026597578604544,15,3
188,4014898513,15,3
189,747287768926060545,15,3
190,414221776,15,0
191,1880841703,15,0
192,143934960,15,1
193,175042044,15,3
194,1130214214742753287,15,1
195,1067968702400876544,15,0
196,942569744640614400,15,3
197,1188633054572695552,15,2
198,4892544645,15,3
199,736207971882029056,15,3
200,913203345053057024,15,0
201,24198971,15,3
202,952168111322562560,15,1
203,91176799,15,1
204,4640585592,15,1
205,985400015865573376,15,0
206,845392971381927936,15,2
207,958555581198954497,15,2
208,758386615748263936,15,1
209,898533348,15,2
210,892317019479080961,14,1
211,1424844847115079682,14,1
212,18049161,14,1
213,28180659,14,2
214,17477864,14,2
215,1019031091506831360,14,1
216,852356086006816774,14,3
217,59480357,14,1
218,1209262253251407872,14,3
219,722815320,14,0
220,1239933725699452928,14,1
221,328477056,14,3
222,1281752328773808129,14,3
223,33337778,14,1
224,825426418062544896,14,2
225,2923526810,14,0
226,577268396,14,0
227,357079732,14,1
228,1262028563772891136,14,1
229,770816099046875136,14,3
230,836953913207185413,14,3
231,2262723403,14,3
232,232864606,14,3
233,964190420556279808,14,2
234,1154191426000809985,14,2
235,970413340068638720,14,0
236,28803986,14,0
237,59476911,14,1
238,2439127994,14,1
239,731892427015880704,14,3
240,1037663718686031879,14,1
241,1204257968780382208,14,3
242,1177945200431370240,14,3
243,490900538,14,0
244,729724057340514305,14,2
245,1162171744230215682,14,3
246,1273106717316911107,14,3
247,1167536925793816581,14,3
248,874085209385443329,14,3
249,328756439,14,2
250,1260264100149501953,14,3
251,478407982,14,3
252,47467930,14,0
253,2852378032,14,2
254,1288965434167840768,14,3
255,558818756,14,2
256,14552545,14,3
257,997166407002472448,14,2
258,824796324524498944,14,3
259,777070140,14,2
260,41899582,14,1
261,1056179778,14,1
262,23094875,14,2
263,15926892,14,0
264,225189494,14,3
265,55060090,14,2
266,922110659554430976,14,3
267,232638078,14,0
268,1110921228716515328,14,3
269,1139256005437677568,14,1
270,1037810024259706880,14,3
271,1218076646546333696,14,3
272,1130215575567917058,14,3
273,620244793,14,3
274,2266845013,14,3
275,1376197618049675271,14,1
276,2230411180,14,0
277,54448088,14,1
278,34383891,13,2
279,897671507437944837,13,1
280,318341192,13,3
281,236093569,13,0
282,830461936798011392,13,2
283,807782838351237120,13,1
284,715710032273256448,13,3
285,21235988,13,3
286,1266940546372841473,13,3
287,1118019922108370945,13,3
288,718193927136759809,13,2
289,493017583,13,3
290,1458648751170535427,13,1
291,404533869,13,1
292,864442399191420928,13,3
293,1169016223755096065,13,3
294,2896573098,13,3
295,3751750334,13,1
296,1044296977859538944,13,2
297,847491998508474370,13,1
298,1276426094242127874,13,3
299,395985838,13,1
300,537476067,13,0
301,739844197935644672,13,2
302,1242912513731297280,13,1
303,809299807303073793,13,3
304,1370932230,13,1
305,904533429420789760,13,1
306,1021020774746984450,13,0
307,1431579794,13,2
308,765384381217267712,13,2
309,228144288,13,2
310,77016242,13,1
311,525595860,13,2
312,23829718,13,1
313,5778702,13,2
314,956494460166184966,13,0
315,80901413,13,3
316,1261898569767780352,13,1
317,819736080882733056,13,3
318,1306646638979624960,13,1
319,720323991894798336,13,3
320,1285687851514986498,13,3
321,1358509226008563712,13,1
322,849685715323506688,13,1
323,2530596320,13,0
324,1620010466,13,1
325,1105827328482000896,13,2
326,965015135713599488,13,3
327,932068755856936960,13,2
328,1319669881256792065,13,3
329,1217199734982692866,13,1
330,61437586,13,0
331,1263507019702640640,13,3
332,906951852851331072,13,1
333,2383871725,13,2
334,1080211893527240704,13,3
335,58949394,13,1
336,54452056,13,1
337,408696697,13,1
338,2485895035,13,3
339,238682004,13,1
340,33212336,13,1
341,24731615,13,2
342,88582116,13,1
343,1526273916611592193,12,0
344,1464067667053228057,12,1
345,2433796135,12,1
346,2760075323,12,3
347,260599871,12,2
348,976462631019077632,12,1
349,813738086282694656,12,2
350,1066634199396900865,12,3
351,2314018987,12,2
352,1334688905929613312,12,1
353,1126951782364667904,12,3
354,968831639857061888,12,1
355,19540234,12,1
356,1186826304244670465,12,3
357,1271814247169830913,12,3
358,19558732,12,0
359,1510654326,12,3
360,824457525948919808,12,2
361,783709324270907392,12,3
362,1248813977162985473,12,1
363,857459108,12,3
364,326398427,12,1
365,179732982,12,2
366,23818747,12,3
367,2371064395,12,1
368,1570740841,12,3
369,345137776,12,1
370,899085537243516928,12,2
371,2330409604,12,1
372,1612067526,12,0
373,967439072,12,0
374,886032877011558400,12,2
375,1043517152278372353,12,1
376,1283621260820439042,12,3
377,2425963324,12,3
378,15274836,12,3
379,828038191974346752,12,2
380,949688568674480128,12,2
381,941754604118831105,12,2
382,825593425680437248,12,3
383,2821916034,12,0
384,1206202757599903744,12,2
385,622019512,12,3
386,937899468585828352,12,2
387,25785311,12,0
388,2270905347,12,2
389,1026230866484363265,12,3
390,861738869045297153,12,0
391,781677821282385921,12,2
392,1074780816864149505,12,1
393,60333117,12,2
394,216767555,12,1
395,1299075820389044225,12,1
396,139564107,12,1
397,1378288759,12,3
398,975373794222247936,12,1
399,957217998842073088,12,2
400,921449088872321025,12,3
401,1108115660419141633,12,3
402,1308842989062623234,12,0
403,459269265,12,2
404,24038579,12,2
405,2811782323,12,3
406,1244663153872560129,12,1
407,1127643545073065984,12,3
408,1047616676928397312,12,3
409,1300050128254967809,12,3
410,708895273997631488,12,3
411,2578457970,12,1
412,838867754421628928,12,1
413,918538904290111488,12,2
414,971051135996964864,12,1
415,253316481,12,2
416,974104270244020224,12,2
417,1263498052255526914,12,1
418,111664523,12,0
419,1204062952246128642,12,3
420,1295009023419396099,12,1
421,448437661,12,3
422,892275857779118080,12,2
423,1275285589818998786,12,2
424,27332027,12,1
425,1069256615386333184,12,1
426,44146186,12,1
427,1355218452,12,2
428,21952044,12,2
429,376358488,12,3
430,958123878789926912,12,1
431,1280478731874848769,12,3
432,1319701538911211523,12,1
433,25974425,12,2
434,1134923126733565952,12,3
435,32917190,12,3
436,462288600,12,2
437,1432769984539893760,12,2
438,55404283,12,3
439,1256821583361925120,12,0
440,1002162845407109120,12,3
441,1150533975238041600,12,2
442,26642189,12,0
443,1131265925817229314,12,3
444,965397851768545283,12,3
445,1949789970,12,3
446,260634501,12,0
447,1969346438,12,3
448,1097228217318961153,12,1
449,1320503314753056770,12,1
450,1287869040380088320,12,3
451,1177749066920292354,12,3
452,1237214520012967936,12,3
453,4800796580,12,0
454,860790697,12,0
455,489975747,12,2
456,901703629,12,2
457,4489875434,12,1
458,775647212,12,2
459,3150600186,12,3
460,2301628435,11,2
461,938301480,11,3
462,466042921,11,3
463,52260914,11,0
464,32442434,11,1
465,1041811045910814721,11,3
466,779333699108278272,11,3
467,827237152836685826,11,2
468,817576439478358017,11,3
469,2998864022,11,2
470,1349119341095227397,11,1
471,1422638831329808392,11,1
472,466952405,11,0
473,920790230155845633,11,2
474,1168118606703550465,11,2
475,32467167,11,3
476,1081620007371661312,11,3
477,905319716201177088,11,3
478,817923454456373249,11,0
479,3421301013,11,1
480,613239075,11,0
481,1047887297528705024,11,2
482,1237963845509033984,11,3
483,789404739595218944,11,0
484,1308596911297802241,11,1
485,354431372,11,1
486,1435583828198895624,11,1
487,381092269,11,0
488,457681329,11,0
489,425286098,11,3
490,75614684,11,3
491,1962117602,11,2
