,Retweeters
0,VGrunler
1,kisamo_emmanuel
2,LauraLAtDell
3,VGrunler
4,CiselyW
5,fleejack
6,slutty_rekha
7,Race2Diversity
8,fleejack
9,Race2Diversity
10,fleejack
11,McInnisCheryl
12,Race2Diversity
13,fleejack
14,McInnisCheryl
15,JuliaxBot
16,VGrunler
17,Race2Diversity
18,fleejack
19,Race2Diversity
20,fleejack
21,VGrunler
22,McInnisCheryl
23,VGrunler
24,Race2Diversity
25,fleejack
26,McInnisCheryl
27,VGrunler
28,Race2Diversity
29,CiselyW
30,fleejack
31,Race2Diversity
32,fleejack
33,fleejack
34,SMahankali
35,VGrunler
36,McInnisCheryl
37,joha728
38,andreaswpv
39,Race2Diversity
40,MallingerKim
41,BarbAtDell
42,fleejack
43,The_Bennehard
44,CKAtDell
45,andypettitt
46,McInnisCheryl
47,carogacion
48,John_Howard2
49,AlexisMDiaz
50,Rajesh__Manna
51,BichachiRun
52,Race2Diversity
53,fleejack
54,McInnisCheryl
55,McInnisCheryl
56,Race2Diversity
57,fleejack
58,VGrunler
59,eblake44
60,Race2Diversity
61,fleejack
62,JaneEllisEMEA
63,McInnisCheryl
64,CiselyW
65,VGrunler
66,Race2Diversity
67,fleejack
68,McInnisCheryl
69,1_infinite_loop
70,JMSedwick
71,Race2Diversity
72,LilPotthoff
73,mhlaidlaw
74,fleejack
75,gv_rangan
76,GordonNother
77,DellServerGeeek
78,aftigr
79,anuragschandra
80,kyledufresne2
81,McInnisCheryl
82,AllenLi321
83,Robert_Mc2
84,VGrunler
85,Lschmaedecke
86,BMC95123346
87,Rajesh__Manna
88,DonShappelle
89,SarahPAtDell
90,DOLOCG
91,Keazus_
92,SCagiga
93,LizziMatt
94,CiselyW
95,DellDhiren
96,ElAlejoGarciaL
97,taliahill
98,slssharpo
99,Paige_Eckhart
100,Cmspoehr
101,LauraLAtDell
102,BalajiGurudoss
103,Newsweek
104,gabrielavbello
105,Race2Diversity
106,fleejack
107,MbaDhandapani
108,Race2Diversity
109,fleejack
110,Race2Diversity
111,fleejack
112,LaetitiaCousi
113,McInnisCheryl
114,VGrunler
115,fleejack
116,fleejack
117,McInnisCheryl
118,MbaDhandapani
119,Paige_Eckhart
120,VGrunler
121,fleejack
122,slutty_rekha
123,fleejack
124,LauraLAtDell
125,NoolPeter
126,John_Howard2
127,BalajiGurudoss
128,fleejack
129,isnclub
130,slutty_rekha
131,Race2Diversity
132,fleejack
133,slutty_rekha
134,Race2Diversity
135,fleejack
136,Paige_Eckhart
137,VGrunler
138,gabrielavbello
139,Race2Diversity
140,fleejack
141,VGrunler
142,chiodp
143,Dell_Edge
144,gabrielavbello
145,eblake44
146,Paige_Eckhart
147,pvcd94
148,RodarteMiller
149,fleejack
150,fleejack
151,Race2Diversity
152,fleejack
153,CiselyW
154,VGrunler
155,Race2Diversity
156,fleejack
157,VGrunler
158,Race2Diversity
159,fleejack
160,AcuaBio
161,Shruthisudhis
162,Race2Diversity
163,fleejack
164,Race2Diversity
165,fleejack
166,VGrunler
167,Race2Diversity
168,fleejack
169,Race2Diversity
170,fleejack
171,VGrunler
172,John_Howard2
173,Race2Diversity
174,fleejack
175,Race2Diversity
176,fleejack
177,jonzii83
178,Race2Diversity
179,fleejack
180,Race2Diversity
181,fleejack
182,Race2Diversity
183,fleejack
184,JimGatDell
185,LauraLAtDell
186,Race2Diversity
187,fleejack
188,Cass_Garber
189,Race2Diversity
190,fleejack
191,Race2Diversity
192,fleejack
193,rajani1580
194,CKAtDell
195,Race2Diversity
196,fleejack
197,Race2Diversity
198,fleejack
199,VGrunler
200,Race2Diversity
201,fleejack
202,Race2Diversity
203,fleejack
204,Race2Diversity
205,fleejack
206,Race2Diversity
207,fleejack
208,Cass_Garber
209,GoGolindan
210,Race2Diversity
211,fleejack
212,DOLOCG
213,SCagiga
214,LauraLAtDell
215,Rosemary_Pron
216,Race2Diversity
217,fleejack
218,AreyJonesEdu
219,Race2Diversity
220,caspirotsoares
221,fleejack
222,K11Sajal
223,VGrunler
224,Race2Diversity
225,fleejack
226,Race2Diversity
227,fleejack
228,Dogtrip7Martin
229,Race2Diversity
230,fleejack
231,Race2Diversity
232,parkerpell26
233,fleejack
234,Race2Diversity
235,BedollaJoseLuis
236,fleejack
237,Race2Diversity
238,fleejack
239,Race2Diversity
240,fleejack
241,VGrunler
242,Race2Diversity
243,fleejack
244,Race2Diversity
245,fleejack
246,Race2Diversity
247,fleejack
248,Race2Diversity
249,fleejack
250,akashlinux
251,12laurensimpson
252,msamyjo
253,VGrunler
254,Race2Diversity
255,fleejack
256,Race2Diversity
257,fleejack
258,Race2Diversity
259,fleejack
260,RodarteMiller
261,___AGabriela
262,Mbengie1
263,Race2Diversity
264,fleejack
265,George_OToole86
266,katie_molnarova
267,Paige_Eckhart
268,DellTech
269,Race2Diversity
270,fleejack
271,Race2Diversity
272,LesegoThinane
273,fleejack
274,ElAlejoGarciaL
275,VGrunler
276,Race2Diversity
277,fleejack
278,Race2Diversity
279,fleejack
280,fleejack
281,Cass_Garber
282,manuLrios
283,MyServerMonkey
284,JimGatDell
285,lemavaleba
286,Race2Diversity
287,fleejack
288,Race2Diversity
289,fleejack
290,DigitalRonan
291,Race2Diversity
292,fleejack
293,jazzsethi1
294,CiselyW
295,Race2Diversity
296,fleejack
297,Race2Diversity
298,fleejack
299,Race2Diversity
300,fleejack
301,VGrunler
302,Race2Diversity
303,Paige_Eckhart
304,fleejack
305,VGrunler
306,Race2Diversity
307,fleejack
308,LauraLAtDell
309,VGrunler
310,Race2Diversity
311,fleejack
312,Cass_Garber
313,DellTech
314,John_Howard2
315,Race2Diversity
316,JohnEG78
317,fleejack
318,Race2Diversity
319,fleejack
320,manuLrios
321,Race2Diversity
322,MRJACKSONJOSEPH
323,DellTech
324,John_Howard2
325,fleejack
326,Race2Diversity
327,fleejack
328,VGrunler
329,Race2Diversity
330,fleejack
331,Race2Diversity
332,Gabina_Rios
333,VGrunler
334,fleejack
335,Williams25Sarah
336,Race2Diversity
337,fleejack
338,manuLrios
339,Race2Diversity
340,fleejack
341,CareersDepot
342,AmyonBrights
343,Cass_Garber
344,John_Howard2
345,Race2Diversity
346,fleejack
347,John_Howard2
348,Race2Diversity
349,fleejack
350,spurlockpty
351,PDH_Metaverse
352,Race2Diversity
353,fleejack
354,JesseCoulter
355,SarahLuden
356,Race2Diversity
357,fleejack
358,Race2Diversity
359,fleejack
360,BhageshPant
361,RawlsCMC
362,Cass_Garber
363,Race2Diversity
364,JaneEllisEMEA
365,fleejack
366,VGrunler
367,Race2Diversity
368,fleejack
