source,target,follower_count
715901816857358336,1585264767119331328,0
715901816857358336,544700079,217
715901816857358336,1380392472325595138,47
715901816857358336,1270288739483504640,2
715901816857358336,18202113,23
715901816857358336,1921697539,165
715901816857358336,1432640558833586178,17
715901816857358336,1564935812852088833,5
715901816857358336,1508219861306163206,5
715901816857358336,1571668578130083840,0
715901816857358336,2321962242,283
715901816857358336,202061963,62
715901816857358336,29984999,179
715901816857358336,841842289991385088,316
715901816857358336,1278665088,623
715901816857358336,879088501,15
715901816857358336,1431395987948441602,5349
715901816857358336,582496320,462
715901816857358336,156638814,35
715901816857358336,1498006338294718474,177
715901816857358336,1528203317251391488,10
715901816857358336,483930570,75
715901816857358336,2789442902,1289
715901816857358336,212455053,447
715901816857358336,1562697624360144897,87
715901816857358336,1584874008658563074,0
715901816857358336,829156255784648707,488
715901816857358336,1521148423931637761,220
715901816857358336,2162674334,645
715901816857358336,44855413,1676
715901816857358336,791145636687216641,9
715901816857358336,1153151077350608896,112
715901816857358336,1918283838,29995
715901816857358336,276066532,156
715901816857358336,3133656576,16
715901816857358336,1584743997037330434,0
715901816857358336,1485686918360797185,0
715901816857358336,1511895545266253825,1252
715901816857358336,152623807,51
715901816857358336,1501938637612535814,2
715901816857358336,154947007,53
715901816857358336,1561697108268179458,0
715901816857358336,988272630502449152,179
715901816857358336,1573041570664026113,216
715901816857358336,1065957835522093062,81
715901816857358336,767704050255138821,0
715901816857358336,1507302334073823254,11
715901816857358336,793485720971247616,1
715901816857358336,245299843,4063
715901816857358336,1540624339657445376,2
715901816857358336,4656531520,15
715901816857358336,146110590,30
715901816857358336,4865827630,14
715901816857358336,1584446863696138240,0
715901816857358336,1565476398159970306,5
715901816857358336,1577155551028461568,11
715901816857358336,1479385697630887936,21
715901816857358336,1114137116252860416,114
715901816857358336,263434056,257
715901816857358336,1427934117870637065,311
715901816857358336,1493628786914430978,51
715901816857358336,992901488749006848,45
715901816857358336,33678643,157
715901816857358336,1077003309356060673,9
715901816857358336,1443733807,9
715901816857358336,1524038278286090240,13
715901816857358336,617219003,5
715901816857358336,1272178573512671232,0
715901816857358336,1574022345005613057,9
715901816857358336,1578123532474662913,1
715901816857358336,1580397499679907841,0
715901816857358336,1514331486652186626,151
715901816857358336,1584218855664226304,62
715901816857358336,16891325,3166
715901816857358336,1149602395,31
715901816857358336,1577501571017052160,68
715901816857358336,1581712915605979136,20
715901816857358336,1467373234672881664,23
715901816857358336,711308916,4
715901816857358336,1584085235880251394,2
715901816857358336,1575856186318282752,3
715901816857358336,817828875841454080,8
715901816857358336,2268389330,91
715901816857358336,1583889619397246976,1
715901816857358336,1607594917,42
715901816857358336,2755140107,87
715901816857358336,20407899,143
715901816857358336,1123871776147156998,190
715901816857358336,1583901019527839744,8
715901816857358336,121898098,270
715901816857358336,1454857352260247552,10
715901816857358336,1494979800334991361,0
715901816857358336,1583862166540767239,4
715901816857358336,1570568122175733761,669
715901816857358336,1582228903858507776,2
715901816857358336,3154698864,690
715901816857358336,1583826080397344769,3
715901816857358336,1572680163992772609,137
715901816857358336,1583799908812951552,3
715901816857358336,1583728806715604992,0
715901816857358336,1577904550182371329,5
715901816857358336,1281741993089961984,0
715901816857358336,1583354734269943808,28
715901816857358336,1119311247017693184,45130
715901816857358336,1470495676337426434,1
715901816857358336,950179286002135040,227
715901816857358336,1317086060053209093,58
715901816857358336,1389004741993172996,0
715901816857358336,16338795,1130
715901816857358336,1365536933355659266,87
715901816857358336,1568286904604557314,1
715901816857358336,1370095268046249988,28
