,Id,degree,group
0,3438377813,492,4
1,1.17765E+18,480,0
2,1658183904,453,4
3,7.06521E+17,434,3
4,9.8278E+17,431,4
5,2409040759,430,0
6,1.27328E+18,425,4
7,1.1099E+18,381,3
8,9.66742E+17,376,4
9,1.18648E+18,373,4
10,9.71866E+17,329,0
11,2446545337,328,3
12,7.02569E+17,325,3
13,8.4248E+17,291,4
14,22275767,284,4
15,3782648474,278,0
16,289061626,273,0
17,1.09462E+18,261,3
18,1246393471,253,3
19,476926394,252,3
20,3031588833,240,0
21,9.86162E+17,223,0
22,8.83529E+17,160,0
23,23429613,153,0
24,1.24159E+18,145,3
25,31155713,139,3
26,53987498,135,0
27,1.17233E+18,133,4
28,1.01065E+18,133,1
29,885866101,113,0
30,19723107,106,0
31,328242786,106,3
32,1.20444E+18,96,4
33,1.2562E+18,93,0
34,220186384,88,3
35,4492057458,59,0
36,629460644,57,0
37,9.23081E+17,52,3
38,732066798,50,0
39,9.01847E+17,44,0
40,1.04458E+18,38,0
41,1.11573E+18,36,3
42,65053719,31,0
43,17717593,25,0
44,21130829,24,0
45,1.04598E+18,23,0
46,1.03801E+18,23,0
47,7.58051E+17,23,0
48,24733117,23,0
49,7.59201E+17,22,0
50,2517897416,22,0
51,19081489,22,4
52,9.79212E+17,22,0
53,8.26632E+17,22,0
54,43601834,22,0
55,1.20425E+18,21,0
56,195870839,21,4
57,465562204,21,0
58,1.35713E+18,21,3
59,146213826,21,0
60,9.61113E+17,21,0
61,7.45162E+17,20,0
62,7.49005E+17,20,0
63,8.25855E+17,20,4
64,3334843313,20,0
65,796261392,20,0
66,1.13346E+18,20,0
67,3033305103,19,0
68,1473587414,19,4
69,163299688,19,0
70,251705823,19,3
71,1.00556E+18,19,4
72,8.51957E+17,19,0
73,8.10819E+17,19,4
74,15545122,19,4
75,9.56955E+17,19,4
76,1.26711E+18,19,4
77,946344888,19,2
78,524024759,19,0
79,351153307,19,0
80,1315355821,19,0
81,2402915880,19,4
82,254254793,19,0
83,101017453,19,0
84,19077091,19,0
85,1.07839E+18,18,3
86,1.25801E+18,18,0
87,22290536,18,4
88,1.31977E+18,18,3
89,8.23535E+17,18,4
90,2658640056,18,3
91,2827770165,18,0
92,217506104,18,3
93,431071870,18,0
94,1129683662,18,4
95,352848671,18,4
96,4364923707,18,0
97,4896679942,18,0
98,1.11777E+18,18,4
99,387720178,18,0
100,386667599,18,3
101,2186755171,18,4
102,1.17845E+18,18,0
103,1.13455E+18,18,4
104,61935527,18,4
105,311805941,18,4
106,3910760593,17,0
107,121784473,17,3
108,9.69139E+17,17,0
109,8.25776E+17,17,0
110,2736359780,17,3
111,1.26445E+18,17,0
112,1.09471E+18,17,0
113,8.31726E+17,17,4
114,271075882,17,0
115,8.40047E+17,17,4
116,44384976,17,0
117,3193455540,17,0
118,1.35857E+18,17,3
119,2808650785,17,0
120,1.0856E+18,17,4
121,1.18342E+18,17,4
122,1.3129E+18,17,0
123,1.02305E+18,17,4
124,18082945,17,0
125,1.05702E+18,17,4
126,1113259788,17,4
127,9.45693E+17,17,1
128,8.2792E+17,17,4
129,219588553,17,4
130,7.57231E+17,16,0
131,7.99719E+17,16,0
132,7.40245E+17,16,4
133,2992517678,16,0
134,1.18461E+18,16,0
135,71232154,16,4
136,281615096,16,0
137,1.28045E+18,16,0
138,18535177,16,0
139,23554832,16,0
140,366498596,16,0
141,1.20987E+18,16,3
142,1.08361E+18,16,3
143,29918146,16,0
144,1.30514E+18,16,3
145,3938173949,16,0
146,36588590,16,4
147,1.09004E+18,16,3
148,18650281,16,4
149,8.7758E+17,16,4
150,1.27376E+18,16,0
151,1.19415E+18,16,4
152,1252324904,16,3
153,1.02838E+18,16,4
154,1.00853E+18,16,0
155,4240506557,16,4
156,2731007693,16,3
157,26824556,16,0
158,23132135,16,4
159,1.31292E+18,15,3
160,3130855439,15,3
161,3237195795,15,4
162,1.2234E+18,15,3
163,8.10355E+17,15,4
164,2796980429,15,0
165,1918204129,15,0
166,8.31649E+17,15,3
167,459718919,15,4
168,3041884596,15,0
169,67035595,15,4
170,7.89474E+17,15,4
171,1929030181,15,4
172,1.20415E+18,15,3
173,7.86398E+17,15,4
174,1.35724E+18,15,3
175,1.26246E+18,15,4
176,1.02628E+18,15,4
177,8.50765E+17,15,0
178,87983041,15,0
179,8.35641E+17,15,0
180,1.07378E+18,15,3
181,9.45815E+17,15,0
182,2896151700,15,4
183,77329593,15,0
184,8.80806E+17,15,4
185,7.42004E+17,15,4
186,1.087E+18,15,4
187,9.79027E+17,15,4
188,4014898513,15,4
189,7.47288E+17,15,4
190,414221776,15,0
191,1880841703,15,4
192,143934960,15,3
193,175042044,15,3
194,1.13021E+18,15,3
195,1.06797E+18,15,0
196,9.4257E+17,15,4
197,1.18863E+18,15,4
198,4892544645,15,1
199,7.36208E+17,15,4
200,9.13203E+17,15,0
201,24198971,15,0
202,9.52168E+17,15,4
203,91176799,15,3
204,4640585592,15,3
205,9.854E+17,15,0
206,8.45393E+17,15,0
207,9.58556E+17,15,0
208,7.58387E+17,15,4
209,898533348,15,0
210,8.92317E+17,14,0
211,1.42484E+18,14,3
212,18049161,14,4
213,28180659,14,0
214,17477864,14,0
215,1.01903E+18,14,3
216,8.52356E+17,14,4
217,59480357,14,3
218,1.20926E+18,14,4
219,722815320,14,4
220,1.23993E+18,14,3
221,328477056,14,0
222,1.28175E+18,14,3
223,33337778,14,3
224,8.25426E+17,14,4
225,2923526810,14,0
226,577268396,14,4
227,357079732,14,3
228,1.26203E+18,14,3
229,7.70816E+17,14,4
230,8.36954E+17,14,4
231,2262723403,14,4
232,232864606,14,4
233,9.6419E+17,14,0
234,1.15419E+18,14,0
235,9.70413E+17,14,0
236,28803986,14,4
237,59476911,14,3
