,User,Tweet,paper_text_processed,paper_text_processed_filtered
0,wchacon,"Asia's Largest, Prized Hackathon Organised by Morpheus Labs and Blockchain Association of Singapore (BAS) - Benzinga https://t.co/fJTtYubWPz","asia's largest, prized hackathon organised by morpheus labs and blockchain association of singapore (bas) - benzinga ","asia's largest, prized hackathon organised morpheus lab blockchain association singapore (bas) - benzinga "
1,CaritauInfo,Hackathon Terbesar dan Berharga di Asia Diselenggarakan oleh Morpheus Labs dan Blockchain Association of Singapore (BAS) Akan Hadir di Singapura pada Juli 2022 – Situs Berita Blockchain https://t.co/rDDzCcnZfV,hackathon terbesar dan berharga di asia diselenggarakan oleh morpheus labs dan blockchain association of singapore (bas) akan hadir di singapura pada juli 2022 – situs berita blockchain ,hackathon terbesar dan berharga di asia diselenggarakan oleh morpheus lab dan blockchain association singapore (bas) akan hadir di singapura pada juli 2022 – situs berita blockchain 
2,InvestorIdeas,"Asia's Largest, Prized Hackathon Organised by Morpheus Labs and Blockchain Association of Singapore (BAS) Coming to Singapore in July 2022 https://t.co/lFDbJU33i0 #Crypto","asia's largest, prized hackathon organised by morpheus labs and blockchain association of singapore (bas) coming to singapore in july 2022  #crypto","asia's largest, prized hackathon organised morpheus lab blockchain association singapore (bas) coming singapore july 2022  #crypto"
3,delete75522330,"Asia's Largest, Prized Hackathon Organised by Morpheus Labs and Blockchain Association of Singapore (BAS) Coming to Singapore in July 2022 . Singapore, Singapore--(Newsfile Corp. - July 5, 2022) - Morpheus Labs and Blockchain Association of Singapore (B","asia's largest, prized hackathon organised by morpheus labs and blockchain association of singapore (bas) coming to singapore in july 2022 . singapore, singapore--(newsfile corp. - july 5, 2022) - morpheus labs and blockchain association of singapore (b","asia's largest, prized hackathon organised morpheus lab blockchain association singapore (bas) coming singapore july 2022 . singapore, singapore--(newsfile corp. - july 5, 2022) - morpheus lab blockchain association singapore (b"
4,xiaojiuwo8,"Asia's Largest, Prized Hackathon Organised by Morpheus Labs and Blockchain Association of Singapore (BAS ... . Singapore, Singapore--(Newsfile Corp. - July 5, 2022) - Morpheus Labs and Blockchain Association of Singapore (BAS) today announced the launch of the.","asia's largest, prized hackathon organised by morpheus labs and blockchain association of singapore (bas ... . singapore, singapore--(newsfile corp. - july 5, 2022) - morpheus labs and blockchain association of singapore (bas) today announced the launch of the.","asia's largest, prized hackathon organised morpheus lab blockchain association singapore (bas ... . singapore, singapore--(newsfile corp. - july 5, 2022) - morpheus lab blockchain association singapore (bas) today announced launch the."
5,5ireChain,"1/2

@5irechain is excited to be the Main sponsor of Singapore #Blockchain Weeks Hackathon Along with @morpheuslabs_io &amp; @HuaweiCloudAPAC to increase accessibility, education &amp; Innovation to built the future of #Web3 Together.

#singapore #conference #huawei #atlas #apac https://t.co/s3TxKrJpj3","1/2

@5irechain is excited to be the main sponsor of singapore #blockchain weeks hackathon along with @morpheuslabs_io &amp; @huaweicloudapac to increase accessibility, education &amp; innovation to built the future of #web3 together.

#singapore #conference #huawei #atlas #apac ","1/2

@5irechain excited main sponsor singapore #blockchain week hackathon along @morpheuslabs_io &amp; @huaweicloudapac increase accessibility, education &amp; innovation built future #web3 together.

#singapore #conference #huawei #atlas #apac "
6,newsfile_corp,"Asia's Largest, Prized Hackathon Organised by Morpheus Labs and Blockchain Association of Singapore (BAS) Coming to Singapore in July 2022

Full Story: https://t.co/MUPmz6N3Js

 #Publishing #Investing","asia's largest, prized hackathon organised by morpheus labs and blockchain association of singapore (bas) coming to singapore in july 2022

full story: 

 #publishing #investing","asia's largest, prized hackathon organised morpheus lab blockchain association singapore (bas) coming singapore july 2022

full story: 

 #publishing #investing"
7,ChallengeServer,"Asia’s largest, prized hackathon coming to Singapore in July 2022 https://t.co/98g4JfYSer","asia’s largest, prized hackathon coming to singapore in july 2022 ","asia’s largest, prized hackathon coming singapore july 2022 "
8,PressRelease_cc,"Asia’s largest, prized hackathon coming to Singapore in July 2022 https://t.co/eqa9NsucZW","asia’s largest, prized hackathon coming to singapore in july 2022 ","asia’s largest, prized hackathon coming singapore july 2022 "
9,BlockTides,"SINGAPORE METAVERSE WEEK!🇸🇬

Web3 Conference, Web 3 Hackathon by Morpheus Labs and Metaverse Nova Idol 2022⭐️

8 days event brought to you by Asia Token Fund, Block Tides, AC Capital, Morpheus Labs, Coin Sessions Entertainment, KX Capital, Reactify &amp; VIA.

Exciting 8-days event👏🏻 https://t.co/R6PhOUDrUz","singapore metaverse week!🇸🇬

web3 conference, web 3 hackathon by morpheus labs and metaverse nova idol 2022⭐️

8 days event brought to you by asia token fund, block tides, ac capital, morpheus labs, coin sessions entertainment, kx capital, reactify &amp; via.

exciting 8-days event👏🏻 ","singapore metaverse week!🇸🇬

web3 conference, web 3 hackathon morpheus lab metaverse nova idol 2022⭐️

8 day event brought asia token fund, block tides, ac capital, morpheus labs, coin session entertainment, kx capital, reactify &amp; via.

exciting 8-days event👏🏻 "
