,Sentiment Score
0,Positive
1,Very Positive
2,Neutral
3,Positive
4,Very Positive
5,Positive
6,Very Positive
7,Positive
8,Positive
9,Very Positive
10,Very Positive
11,Positive
12,Very Positive
13,Very Positive
14,Very Positive
15,Very Positive
16,Very Positive
17,Very Positive
18,Very Positive
19,Very Positive
20,Positive
21,Very Positive
22,Positive
23,Very Positive
24,Negative
25,Negative
26,Positive
27,Very Positive
28,Positive
29,Negative
30,Very Positive
31,Very Positive
32,Very Positive
33,Very Positive
34,Positive
35,Positive
36,Positive
37,Very Positive
38,Very Positive
39,Positive
40,Neutral
41,Positive
42,Positive
43,Negative
44,Very Positive
45,Neutral
46,Positive
47,Negative
48,Positive
49,Positive
50,Neutral
51,Neutral
52,Neutral
53,Neutral
54,Neutral
55,Negative
56,Positive
57,Positive
58,Neutral
59,Positive
60,Positive
61,Very Positive
62,Neutral
63,Neutral
64,Neutral
65,Negative
66,Negative
67,Neutral
68,Neutral
