,Sentiment Score
0,Very Positive
1,Very Positive
2,Very Positive
3,Very Positive
4,Very Positive
5,Very Positive
6,Very Positive
7,Positive
8,Positive
9,Very Positive
10,Very Positive
11,Positive
12,Positive
13,Positive
14,Neutral
15,Very Positive
16,Positive
17,Positive
18,Very Positive
19,Very Positive
20,Positive
21,Very Positive
22,Positive
23,Positive
24,Neutral
25,Very Positive
26,Very Positive
27,Very Positive
28,Negative
29,Very Positive
30,Positive
31,Very Positive
32,Positive
33,Positive
34,Very Positive
35,Very Positive
36,Very Positive
37,Very Positive
38,Very Positive
39,Very Positive
40,Very Positive
41,Very Positive
42,Very Positive
43,Very Positive
44,Positive
45,Neutral
46,Positive
47,Positive
48,Positive
49,Very Positive
50,Very Positive
51,Very Positive
52,Positive
53,Very Positive
54,Very Positive
55,Very Positive
56,Very Positive
57,Positive
58,Positive
59,Positive
60,Very Positive
61,Positive
62,Very Positive
63,Very Positive
64,Positive
65,Positive
66,Positive
67,Very Positive
68,Very Positive
69,Very Positive
70,Negative
71,Very Positive
72,Positive
73,Positive
74,Very Positive
75,Very Positive
76,Positive
77,Positive
78,Positive
79,Negative
80,Positive
81,Positive
82,Very Positive
83,Very Positive
84,Very Positive
85,Negative
86,Very Positive
87,Very Positive
88,Very Positive
89,Neutral
90,Very Positive
91,Positive
92,Very Positive
93,Positive
94,Very Positive
95,Very Positive
96,Positive
97,Very Positive
98,Very Positive
99,Neutral
100,Positive
101,Very Positive
102,Positive
103,Positive
104,Very Positive
105,Very Positive
106,Very Positive
107,Very Positive
108,Very Positive
109,Neutral
110,Very Positive
111,Very Positive
112,Very Positive
113,Very Positive
114,Very Positive
115,Very Positive
116,Positive
117,Very Positive
118,Very Positive
119,Very Positive
120,Very Positive
121,Very Positive
122,Positive
123,Very Positive
124,Very Positive
125,Very Positive
126,Very Positive
127,Positive
128,Positive
129,Positive
130,Very Positive
131,Very Positive
132,Positive
133,Very Positive
134,Positive
135,Positive
136,Very Positive
137,Very Positive
138,Neutral
139,Very Positive
140,Neutral
141,Very Positive
142,Positive
143,Very Positive
144,Neutral
145,Positive
146,Very Positive
147,Very Positive
148,Very Positive
149,Very Positive
150,Very Positive
151,Very Positive
152,Very Positive
153,Positive
154,Positive
155,Neutral
156,Neutral
157,Very Positive
158,Very Positive
159,Positive
160,Positive
161,Very Positive
162,Very Positive
163,Positive
164,Very Positive
165,Positive
166,Very Positive
167,Positive
168,Very Positive
169,Positive
170,Neutral
171,Very Positive
172,Positive
173,Neutral
174,Very Positive
175,Very Positive
176,Very Positive
177,Very Positive
178,Positive
179,Very Positive
180,Very Positive
181,Neutral
182,Positive
183,Very Positive
184,Very Positive
185,Very Positive
186,Very Positive
187,Very Positive
188,Neutral
189,Very Positive
190,Positive
191,Very Positive
192,Positive
193,Positive
194,Positive
195,Very Positive
196,Neutral
197,Very Positive
198,Very Positive
199,Positive
200,Very Positive
201,Very Positive
202,Positive
203,Very Positive
204,Neutral
205,Positive
206,Very Positive
207,Very Positive
208,Very Positive
209,Very Positive
210,Very Positive
211,Very Positive
212,Positive
213,Very Positive
214,Positive
215,Neutral
216,Positive
217,Very Positive
218,Positive
219,Positive
220,Very Positive
221,Positive
222,Very Positive
223,Very Positive
224,Positive
225,Very Positive
226,Positive
227,Very Positive
228,Positive
229,Very Positive
230,Positive
231,Very Positive
232,Very Positive
233,Very Positive
234,Positive
235,Very Positive
236,Very Positive
237,Positive
238,Very Positive
239,Very Positive
240,Very Positive
241,Very Positive
242,Very Positive
243,Very Positive
244,Positive
245,Neutral
246,Positive
247,Very Positive
248,Positive
249,Positive
250,Very Positive
251,Very Positive
252,Very Positive
253,Positive
254,Positive
255,Very Positive
256,Positive
257,Very Positive
258,Very Positive
259,Positive
260,Positive
261,Very Positive
262,Positive
263,Very Positive
264,Very Positive
265,Very Positive
266,Very Positive
267,Very Positive
268,Very Positive
269,Very Positive
270,Very Positive
271,Positive
272,Positive
273,Very Positive
274,Very Positive
275,Very Positive
276,Positive
277,Positive
278,Very Positive
279,Very Positive
280,Neutral
281,Very Positive
282,Positive
283,Positive
284,Neutral
285,Neutral
286,Neutral
287,Neutral
288,Neutral
289,Neutral
290,Neutral
291,Positive
