,Sentiment Score
0,Negative
1,Positive
2,Positive
3,Positive
4,Very Positive
5,Positive
6,Positive
7,Positive
8,Positive
9,Very Positive
10,Positive
11,Neutral
12,Positive
13,Positive
14,Positive
15,Negative
16,Very Positive
17,Very Positive
18,Neutral
19,Very Positive
20,Positive
21,Positive
22,Positive
23,Very Positive
24,Very Positive
25,Positive
26,Positive
27,Positive
28,Positive
29,Positive
30,Positive
31,Very Positive
32,Neutral
33,Very Positive
34,Very Positive
35,Very Positive
36,Positive
37,Positive
38,Positive
39,Very Positive
40,Positive
41,Very Positive
42,Positive
43,Positive
44,Positive
45,Very Positive
46,Very Positive
47,Very Positive
48,Positive
49,Very Positive
50,Very Positive
51,Very Positive
52,Very Positive
53,Very Positive
54,Positive
55,Negative
56,Positive
57,Positive
58,Positive
59,Very Positive
60,Neutral
61,Very Positive
62,Very Positive
63,Very Positive
64,Very Positive
65,Positive
66,Positive
67,Very Positive
68,Very Positive
69,Positive
70,Positive
71,Positive
72,Very Positive
73,Very Positive
74,Very Positive
75,Very Positive
76,Positive
77,Positive
78,Positive
79,Positive
80,Very Positive
81,Very Positive
82,Very Positive
83,Very Positive
84,Positive
85,Positive
86,Positive
87,Very Positive
88,Very Positive
89,Very Positive
90,Positive
91,Neutral
92,Very Positive
93,Very Positive
94,Positive
95,Positive
96,Very Positive
97,Very Positive
98,Positive
99,Positive
100,Positive
101,Very Positive
102,Very Positive
103,Very Positive
104,Positive
105,Very Positive
106,Positive
107,Positive
108,Very Positive
109,Very Positive
110,Positive
111,Positive
112,Negative
113,Positive
114,Neutral
115,Positive
116,Positive
117,Negative
118,Neutral
119,Neutral
120,Neutral
121,Very Positive
122,Very Positive
123,Positive
124,Positive
125,Positive
126,Neutral
127,Negative
128,Positive
129,Neutral
130,Negative
131,Negative
132,Very Positive
133,Positive
134,Neutral
135,Very Positive
136,Positive
137,Positive
138,Positive
139,Neutral
140,Neutral
141,Very Positive
142,Positive
143,Positive
144,Positive
145,Positive
146,Neutral
147,Neutral
148,Positive
149,Positive
150,Neutral
151,Negative
152,Negative
153,Positive
154,Positive
155,Positive
156,Negative
157,Negative
158,Neutral
159,Positive
160,Negative
161,Positive
162,Very Positive
163,Positive
164,Positive
165,Very Positive
166,Positive
167,Positive
168,Very Positive
169,Positive
170,Negative
171,Neutral
172,Neutral
173,Positive
174,Neutral
175,Positive
176,Neutral
177,Positive
178,Negative
179,Neutral
