,Sentiment Score
0,Positive
1,Positive
2,Positive
3,Positive
4,Positive
5,Positive
6,Positive
7,Positive
8,Positive
9,Positive
10,Positive
11,Positive
12,Positive
13,Positive
14,Positive
15,Very Positive
16,Positive
17,Positive
18,Positive
19,Positive
20,Positive
21,Positive
22,Positive
23,Negative
24,Positive
25,Positive
26,Positive
27,Positive
28,Positive
29,Positive
30,Positive
31,Positive
32,Positive
33,Positive
34,Positive
35,Positive
36,Positive
37,Positive
38,Positive
39,Positive
40,Positive
41,Positive
42,Positive
43,Positive
44,Positive
45,Positive
46,Positive
47,Positive
48,Positive
49,Positive
50,Positive
51,Positive
52,Neutral
53,Positive
54,Neutral
55,Positive
56,Positive
57,Positive
58,Positive
59,Positive
60,Positive
61,Neutral
62,Positive
63,Positive
64,Positive
65,Positive
66,Positive
67,Positive
68,Neutral
69,Positive
70,Positive
71,Positive
72,Positive
73,Positive
74,Positive
75,Positive
76,Positive
77,Positive
78,Positive
79,Neutral
80,Positive
81,Positive
82,Positive
83,Positive
84,Positive
85,Positive
86,Positive
87,Positive
88,Positive
89,Positive
90,Positive
91,Positive
92,Positive
93,Positive
94,Positive
95,Positive
96,Positive
97,Positive
98,Positive
99,Positive
100,Positive
101,Positive
102,Positive
103,Positive
104,Positive
105,Positive
106,Positive
107,Positive
108,Positive
109,Positive
110,Positive
111,Positive
112,Positive
113,Positive
114,Positive
115,Positive
116,Positive
117,Positive
118,Positive
119,Positive
120,Positive
121,Positive
122,Positive
123,Positive
124,Positive
125,Positive
126,Positive
127,Positive
128,Positive
129,Positive
130,Positive
131,Positive
132,Positive
133,Positive
134,Positive
135,Negative
136,Positive
137,Positive
138,Positive
139,Positive
140,Positive
141,Neutral
142,Positive
143,Positive
144,Positive
145,Positive
146,Positive
147,Positive
148,Positive
149,Positive
150,Positive
151,Positive
152,Positive
153,Positive
154,Positive
155,Positive
156,Positive
157,Positive
158,Positive
159,Positive
160,Positive
161,Positive
162,Positive
163,Positive
164,Positive
165,Positive
166,Positive
167,Positive
168,Neutral
169,Positive
170,Positive
171,Positive
172,Positive
173,Positive
174,Positive
175,Positive
176,Positive
177,Positive
178,Neutral
179,Positive
180,Positive
181,Very Positive
182,Very Positive
183,Positive
184,Positive
185,Neutral
186,Positive
187,Positive
188,Neutral
189,Positive
190,Neutral
191,Positive
192,Very Positive
193,Positive
194,Positive
195,Positive
196,Positive
197,Positive
198,Neutral
