,Post,preprocess_txt,total_len,pos_count,neg_count,sentiment
0,Proud to announce that my team won the recognition of People's Choice for Dell Technologies ISG hackathon in Singapore. #delltechnologies #hackathons #singaporejobs #teamwork,"['proud', 'announce', 'team', 'recognition', 'people', 'choice', 'dell', 'technology', 'isg', 'hackathon', 'singapore', 'delltechnologies', 'hackathons', 'singaporejobs', 'teamwork']",15,1,0,0.07
1,"In SCDF and Dell's Innovation Lifesavers' Innovation Challenge 2022, my TEAM TAGAR won 2nd Place. I took advantage of my summer break to participate in my first hackathon - SCDF and Dell's Innovation Lifesavers' Innovation Challenge 2022 - with my TAGAR teammates: Terence Poh Aaron K. Godwinn W. Rachel Ow Yeong 
    Our project aims to help reduce SCDF Paramedics' cognitive workload by pulling vital information from existing government sources and dispatcher call logs, tagging them with a neural network, and presenting it in an easy-to-read and accessible way. Through our application, we also made case-specific Just-in-Time revisions easily accessible.
    Having served national service as a Medic, my team and I understood the benefits of ground-up solutions and paid particular attention to the processes of the paramedics during our ideation. By improving the processes, we then aimed to increase their germane load without changing the way they think or act. 
    The experience of working with cloud computing technologies and machine learning was brand-new to me. Designing and developing a cloud-native minimum viable product (MVP) in less than 4 days inclusive of containerisation and pushing to Dell's VMware was a challenge. Furthermore, I learned a lot about machine learning concepts related to text classification specifically bags of word models.
    Through this experience, I gained essential developer skills such as Flask, Dockers, and Tanzu App. Though I am only scratching the surface of what I can do with my development skills, I am happy to announce that I have found my passion and interest in being a developer. The fact that I participated and gave it my best is extremely rewarding to me. 
    Special Thanks
    Thanks to Dell Technologies and Singapore Civil Defence Force for organising this hackathon. Special shoutout to Eugene Swee and his fellow Dell mentors for their patience and guidance throughout the hackathon. #innovation #cloud #hackathon","['scdf', 'dell', 'innovation', 'lifesaver', 'innovation', 'challenge', 'team', 'tagar', 'nd', 'place', 'took', 'advantage', 'summer', 'break', 'participate', 'first', 'hackathon', 'scdf', 'dell', 'innovation', 'lifesaver', 'innovation', 'challenge', 'tagar', 'teammate', 'terence', 'poh', 'aaron', 'k', 'godwinn', 'w', 'rachel', 'ow', 'yeong', 'project', 'aim', 'help', 'reduce', 'scdf', 'paramedic', 'cognitive', 'workload', 'pulling', 'vital', 'information', 'existing', 'government', 'source', 'dispatcher', 'call', 'log', 'tagging', 'neural', 'network', 'presenting', 'easy', 'read', 'accessible', 'way', 'application', 'also', 'made', 'case', 'specific', 'time', 'revision', 'easily', 'accessible', 'served', 'national', 'service', 'medic', 'team', 'understood', 'benefit', 'ground', 'solution', 'paid', 'particular', 'attention', 'process', 'paramedic', 'ideation', 'improving', 'process', 'aimed', 'increase', 'germane', 'load', 'without', 'changing', 'way', 'think', 'act', 'experience', 'working', 'cloud', 'computing', 'technology', 'machine', 'learning', 'brand', 'new', 'designing', 'developing', 'cloud', 'native', 'minimum', 'viable', 'product', 'mvp', 'le', 'day', 'inclusive', 'containerisation', 'pushing', 'dell', 'vmware', 'challenge', 'furthermore', 'learned', 'lot', 'machine', 'learning', 'concept', 'related', 'text', 'classification', 'specifically', 'bag', 'word', 'model', 'experience', 'gained', 'essential', 'developer', 'skill', 'flask', 'docker', 'tanzu', 'app', 'though', 'scratching', 'surface', 'development', 'skill', 'happy', 'announce', 'found', 'passion', 'interest', 'developer', 'fact', 'participated', 'gave', 'best', 'extremely', 'rewarding', 'special', 'thanks', 'thanks', 'dell', 'technology', 'singapore', 'civil', 'defence', 'force', 'organising', 'hackathon', 'special', 'shoutout', 'eugene', 'swee', 'fellow', 'dell', 'mentor', 'patience', 'guidance', 'throughout', 'hackathon', 'innovation', 'cloud', 'hackathon']",183,22,4,0.1
2,"I am proud to announce that my TEAM TAGAR came in 2nd Place in SCDF and Dell’s Innovation Lifesavers’ Innovation Challenge 2022.
    This summer break (1/6/22 – 9/7/22), I took the opportunity to push myself further by attending my first innovation/ hackathon – SCDF and Dell’s Innovation Lifesavers’ Innovation Challenge 2022- together with my TAGAR teammates: Terence Poh Alexander Goh Godwinn Wong Rachel Ow Yeong
    Our project idea aimed to help reduce SCDF Paramedics’ cognitive workload by pulling vital information from existing government sources and dispatcher call logs, tagging them with a neural network and displaying it with an easy to read and user-friendly UI. Furthermore, we made case-specific Just-in-Time revision easily accessible through our application.
    Having served national service, we understood the benefits of ground-up solutions and paid special attention to the processes of the paramedics during our ideation. Our solution then aimed to maximise their germane load by improving the processes without placing change on the way they think or operate. 
    Working with cloud computing technologies was a first for me. It was a gruelling task to design and develop a cloud-native minimal viable product (MVP) in less than 4 days inclusive of containerisation and pushing to VMware’s cloud. I gain valuable knowledge on project management using an Agile Framework as well as crucial developer skills such as Flask, Laravel, and VMware Tanzu Application Service. This hackathon gave me the confidence that I lacked, and I am extremely happy to have participated and given it my all. If given the opportunity, my team and I look forward to furthering the development of the product.
    Thanks to Dell Technologies and Singapore Civil Defence Force for organising this hackathon. Special shoutout to Eugene Swee and his fellow Dell mentors for their patience and guidance throughout the hackathon. Last but not least, the men and women from the 4th SCDF DIV HQ for the valuable sharing sessions.
    #singapore #opportunity #innovation #team #developer #TAGAR #delltechnologies #scdf #lifesavers","['proud', 'announce', 'team', 'tagar', 'came', 'nd', 'place', 'scdf', 'dell', 'innovation', 'lifesaver', 'innovation', 'challenge', 'summer', 'break', 'took', 'opportunity', 'push', 'attending', 'first', 'innovation', 'hackathon', 'scdf', 'dell', 'innovation', 'lifesaver', 'innovation', 'challenge', 'together', 'tagar', 'teammate', 'terence', 'poh', 'alexander', 'goh', 'godwinn', 'wong', 'rachel', 'ow', 'yeong', 'project', 'idea', 'aimed', 'help', 'reduce', 'scdf', 'paramedic', 'cognitive', 'workload', 'pulling', 'vital', 'information', 'existing', 'government', 'source', 'dispatcher', 'call', 'log', 'tagging', 'neural', 'network', 'displaying', 'easy', 'read', 'user', 'friendly', 'ui', 'furthermore', 'made', 'case', 'specific', 'time', 'revision', 'easily', 'accessible', 'application', 'served', 'national', 'service', 'understood', 'benefit', 'ground', 'solution', 'paid', 'special', 'attention', 'process', 'paramedic', 'ideation', 'solution', 'aimed', 'maximise', 'germane', 'load', 'improving', 'process', 'without', 'placing', 'change', 'way', 'think', 'operate', 'working', 'cloud', 'computing', 'technology', 'first', 'gruelling', 'task', 'design', 'develop', 'cloud', 'native', 'minimal', 'viable', 'product', 'mvp', 'le', 'day', 'inclusive', 'containerisation', 'pushing', 'vmware', 'cloud', 'gain', 'valuable', 'knowledge', 'project', 'management', 'using', 'agile', 'framework', 'well', 'crucial', 'developer', 'skill', 'flask', 'laravel', 'vmware', 'tanzu', 'application', 'service', 'hackathon', 'gave', 'confidence', 'lacked', 'extremely', 'happy', 'participated', 'given', 'given', 'opportunity', 'team', 'look', 'forward', 'furthering', 'development', 'product', 'thanks', 'dell', 'technology', 'singapore', 'civil', 'defence', 'force', 'organising', 'hackathon', 'special', 'shoutout', 'eugene', 'swee', 'fellow', 'dell', 'mentor', 'patience', 'guidance', 'throughout', 'hackathon', 'last', 'least', 'men', 'woman', 'th', 'scdf', 'div', 'hq', 'valuable', 'sharing', 'session', 'singapore', 'opportunity', 'innovation', 'team', 'developer', 'tagar', 'delltechnologies', 'scdf', 'lifesaver']",198,25,5,0.1
3,"As part of Dell Technologies' initiatives in shaping the next generation of tech talent, we collaborate with strategic partners such as Singapore Civil Defence Force.  SCDF and Dell Lifesavers’ Innovation Challenge is a platform where these talents can exercise their creativity and technical knowledge to address real-life problem statements. 
    These 3 students from the top team of 2022's SCDF and Dell Lifesavers’ Innovation Challenge applied separately to the hackathon. They were grouped together to improve the emergency services attendance. Read on to find out how this trio used technology to reduce the cognitive workload of paramedics, enabling them to focus on what they did best.
    Andy Sim, Tian Beng Ng, Ferry Chung, Vincent Lee, Wee Horng Ang, Jacky Lee, Carine Chua, Brenda Koh, Eugene Swee, Tuck Kin Soon, Eng Cheng Lim, Jason Lee, Benedict Loh, James Lee, Tan Wei Jie, Evelyn Ho, Peter Duch, Clemence CY Lim, Eugene Quek, Sujoy Thakurta, Seok Yen Ker, Yin Chee Peh
    How Hwa Teong, Jun Wei Koo, Catherine Toh  
    #iwork4dell #cloudnative #digitaltranformation #hackathon #scdfinnovationchallenge  #TheLifeSavingForce  #ANationofLifesavers","['part', 'dell', 'technology', 'initiative', 'shaping', 'next', 'generation', 'tech', 'talent', 'collaborate', 'strategic', 'partner', 'singapore', 'civil', 'defence', 'force', 'scdf', 'dell', 'lifesaver', 'innovation', 'challenge', 'platform', 'talent', 'exercise', 'creativity', 'technical', 'knowledge', 'address', 'real', 'life', 'problem', 'statement', 'student', 'top', 'team', 'scdf', 'dell', 'lifesaver', 'innovation', 'challenge', 'applied', 'separately', 'hackathon', 'grouped', 'together', 'improve', 'emergency', 'service', 'attendance', 'read', 'find', 'trio', 'used', 'technology', 'reduce', 'cognitive', 'workload', 'paramedic', 'enabling', 'focus', 'best', 'andy', 'sim', 'tian', 'beng', 'ng', 'ferry', 'chung', 'vincent', 'lee', 'wee', 'horng', 'ang', 'jacky', 'lee', 'carine', 'chua', 'brenda', 'koh', 'eugene', 'swee', 'tuck', 'kin', 'soon', 'eng', 'cheng', 'lim', 'jason', 'lee', 'benedict', 'loh', 'james', 'lee', 'tan', 'wei', 'jie', 'evelyn', 'ho', 'peter', 'duch', 'clemence', 'cy', 'lim', 'eugene', 'quek', 'sujoy', 'thakurta', 'seok', 'yen', 'ker', 'yin', 'chee', 'peh', 'hwa', 'teong', 'jun', 'wei', 'koo', 'catherine', 'toh', 'iwork', 'dell', 'cloudnative', 'digitaltranformation', 'hackathon', 'scdfinnovationchallenge', 'thelifesavingforce', 'anationoflifesavers']",128,9,2,0.05
4,"My internship at Dell Technologies has been a fun and enriching experience. The Summer Internship Program has had a profound and lasting effect on me.
    From the hackathon to the team bonding events, It has indeed been a very dynamic and engaging internship experience. I am grateful for all the friendships I've forged during this time.
    Lastly, thank you for acknowledging my efforts by bestowing upon me the best intern prize for my project during my 2.5 months tenure at Dell.
    #delltechnologies #dellinternship #summerinternship Dell Technologies","['internship', 'dell', 'technology', 'fun', 'enriching', 'experience', 'summer', 'internship', 'program', 'profound', 'lasting', 'effect', 'hackathon', 'team', 'bonding', 'event', 'indeed', 'dynamic', 'engaging', 'internship', 'experience', 'grateful', 'friendship', 'forged', 'time', 'lastly', 'thank', 'acknowledging', 'effort', 'bestowing', 'upon', 'best', 'intern', 'prize', 'project', 'month', 'tenure', 'dell', 'delltechnologies', 'dellinternship', 'summerinternship', 'dell', 'technology']",43,8,1,0.16
5,"Our very own Cloud Native Architecture advocates will be running this year's Singapore Civil Defence Force & Dell Technologies LifeSavers Innovation Challenge 2022!
    ..
    .
    .
    What makes it more exciting is that #Tanzu will be powering this hackathon.
    Find out more here: https://lnkd.in/eSPk6EG2
    #RememberTheName #CloudNative #Innovation #Hackathon #CloudFoundry
    How Hwa Teong Nam Guan NG, PMP Jacky Lee Wee Horng Ang","['cloud', 'native', 'architecture', 'advocate', 'running', 'year', 'singapore', 'civil', 'defence', 'force', 'dell', 'technology', 'lifesaver', 'innovation', 'challenge', 'make', 'exciting', 'tanzu', 'powering', 'hackathon', 'find', 'http', 'lnkd', 'espk', 'eg', 'rememberthename', 'cloudnative', 'innovation', 'hackathon', 'cloudfoundry', 'hwa', 'teong', 'nam', 'guan', 'ng', 'pmp', 'jacky', 'lee', 'wee', 'horng', 'ang']",41,5,1,0.1
6,"Today marks the end of my 12-week internship journey as a Worldwide Procurement Intern in Dell Technologies. Recognised as having one of the world's best supply chains, I applied for an internship position here with the intention of learning from world-class industry experts in the supply-chain field. After 3 months here in Dell, I can confidently say that I have left with so much more. 
    For me, the biggest takeaway from Dell is to dig deep and always be curious. When I first stepped into the office, I was immediately introduced to the concept of 1X1s - 1 on 1 meetings with any partner to learn more about their work function or to gain insights on a particular issue. Questions are welcomed, if not highly encouraged, in Dell and despite how busy the managers and mentors were, my questions were always thoughtfully answered. This has helped me gain tons of insights not only in procurement, but in other job functions as well. 
    On top of this, I have thoroughly enjoyed the opportunities all interns were given to showcase and refine our skills. There was never a dull day in the office. From hackathons to projects focused on aiding the team solve real-world issues, we were constantly being challenged to think critically and analytically. Though I admit it got hectic at times, the warm and supportive culture in Dell was of great help through these tough times. 
    Although this 12-week internship was just the tip of the iceberg into the procurement field, my perspective has definitely broadened from the numerous 1X1s, Brown Bags, Executive Speaker Series, networking sessions and department events with the outstanding team here in Dell. 
    I'd like to thank my intern team Jan Ng Linh Phan Wan Xian Quek for being such remarkable group mates to work with and learn from. I am grateful for the team's ""never-say-die"" spirit - supporting each other throughout no matter how tough it got. I'd also like to thank Isabel Yao for sacrificing precious work hours to answer our never-ending set of questions and for being the best buddy any intern could ask for. Also huge thanks to Vivek Sharma for his superb mentorship and perceptive feedback on our projects, Christe Elmenzo for being such a supportive and approachable mentor, Evan Goh for his technical expertise and guidance, Margaux Vatel and core team for an unforgettable internship programme, and all other interns for such a wholesome and vibrant experience. 
    Once again, heartfelt thanks to Dell Technologies for this opportunity. Till next time!","['today', 'mark', 'end', 'week', 'internship', 'journey', 'worldwide', 'procurement', 'intern', 'dell', 'technology', 'recognised', 'one', 'world', 'best', 'supply', 'chain', 'applied', 'internship', 'position', 'intention', 'learning', 'world', 'class', 'industry', 'expert', 'supply', 'chain', 'field', 'month', 'dell', 'confidently', 'say', 'left', 'much', 'biggest', 'takeaway', 'dell', 'dig', 'deep', 'always', 'curious', 'first', 'stepped', 'office', 'immediately', 'introduced', 'concept', 'x', 'meeting', 'partner', 'learn', 'work', 'function', 'gain', 'insight', 'particular', 'issue', 'question', 'welcomed', 'highly', 'encouraged', 'dell', 'despite', 'busy', 'manager', 'mentor', 'question', 'always', 'thoughtfully', 'answered', 'helped', 'gain', 'ton', 'insight', 'procurement', 'job', 'function', 'well', 'top', 'thoroughly', 'enjoyed', 'opportunity', 'intern', 'given', 'showcase', 'refine', 'skill', 'never', 'dull', 'day', 'office', 'hackathons', 'project', 'focused', 'aiding', 'team', 'solve', 'real', 'world', 'issue', 'constantly', 'challenged', 'think', 'critically', 'analytically', 'though', 'admit', 'got', 'hectic', 'time', 'warm', 'supportive', 'culture', 'dell', 'great', 'help', 'tough', 'time', 'although', 'week', 'internship', 'tip', 'iceberg', 'procurement', 'field', 'perspective', 'definitely', 'broadened', 'numerous', 'x', 'brown', 'bag', 'executive', 'speaker', 'series', 'networking', 'session', 'department', 'event', 'outstanding', 'team', 'dell', 'like', 'thank', 'intern', 'team', 'jan', 'ng', 'linh', 'phan', 'wan', 'xian', 'quek', 'remarkable', 'group', 'mate', 'work', 'learn', 'grateful', 'team', 'never', 'say', 'die', 'spirit', 'supporting', 'throughout', 'matter', 'tough', 'got', 'also', 'like', 'thank', 'isabel', 'yao', 'sacrificing', 'precious', 'work', 'hour', 'answer', 'never', 'ending', 'set', 'question', 'best', 'buddy', 'intern', 'could', 'ask', 'also', 'huge', 'thanks', 'vivek', 'sharma', 'superb', 'mentorship', 'perceptive', 'feedback', 'project', 'christe', 'elmenzo', 'supportive', 'approachable', 'mentor', 'evan', 'goh', 'technical', 'expertise', 'guidance', 'margaux', 'vatel', 'core', 'team', 'unforgettable', 'internship', 'programme', 'intern', 'wholesome', 'vibrant', 'experience', 'heartfelt', 'thanks', 'dell', 'technology', 'opportunity', 'till', 'next', 'time']",228,35,5,0.13
7,"I’m delighted to share that I’m starting a new position as Summer Intern at Dell Technologies!
    This would not have been possible without the help of my teammates Drishika Jain, Manas Srivastava, Devansh and Raghav who helped us win Dell's Hackathon ""Hack 2 Hire"".
    I'd also like to thank the Department of Computer Science and Engineering MUJ for providing me with this opportunity.
    I'm excited for a summer packed with new experiences and lessons.","['delighted', 'share', 'starting', 'new', 'position', 'summer', 'intern', 'dell', 'technology', 'would', 'possible', 'without', 'help', 'teammate', 'drishika', 'jain', 'manas', 'srivastava', 'devansh', 'raghav', 'helped', 'u', 'win', 'dell', 'hackathon', 'hack', 'hire', 'also', 'like', 'thank', 'department', 'computer', 'science', 'engineering', 'muj', 'providing', 'opportunity', 'excited', 'summer', 'packed', 'new', 'experience', 'lesson']",43,6,1,0.12
8,"I’m happy to share that I’m starting a new position as SDE Intern (Automation) at Dell Technologies!
    This would not have been possible without the help of my teammates Suyash Tyagi Kushagra Srivastava Mridul Pathak Aryan Gupta who helped us win Dell's Hackathon ""Hack 2 Hire"".
    I'd also like to thank the Department of Computer Science and Engineering MUJ for providing me with this opportunity.
    I'm looking forward to a summer full of new experiences and opportunities to learn.","['happy', 'share', 'starting', 'new', 'position', 'sde', 'intern', 'automation', 'dell', 'technology', 'would', 'possible', 'without', 'help', 'teammate', 'suyash', 'tyagi', 'kushagra', 'srivastava', 'mridul', 'pathak', 'aryan', 'gupta', 'helped', 'u', 'win', 'dell', 'hackathon', 'hack', 'hire', 'also', 'like', 'thank', 'department', 'computer', 'science', 'engineering', 'muj', 'providing', 'opportunity', 'looking', 'forward', 'summer', 'full', 'new', 'experience', 'opportunity', 'learn']",48,5,1,0.08
9,"This past Friday was my last day as a Cookie Governance Intern at Dell Technologies. Every week there was something new to learn on improving the Digital Tracking Inventory site. It was a wonderful experience, especially that it was my second internship with Dell. I felt like I walked into this internship with a lot more confidence and a stronger work ethic.
    By far, the biggest highlight was going to the Dell headquarters at Round Rock, TX for a week. I was able to connect with so many great interns and participate in Dell’s Hackathon. Every moment was memorable and I would love to live it again.
    #intern #iwork4dell #dell #delltechnologies #internship","['past', 'friday', 'last', 'day', 'cookie', 'governance', 'intern', 'dell', 'technology', 'every', 'week', 'something', 'new', 'learn', 'improving', 'digital', 'tracking', 'inventory', 'site', 'wonderful', 'experience', 'especially', 'second', 'internship', 'dell', 'felt', 'like', 'walked', 'internship', 'lot', 'confidence', 'stronger', 'work', 'ethic', 'far', 'biggest', 'highlight', 'going', 'dell', 'headquarters', 'round', 'rock', 'tx', 'week', 'able', 'connect', 'many', 'great', 'intern', 'participate', 'dell', 'hackathon', 'every', 'moment', 'memorable', 'would', 'love', 'live', 'intern', 'iwork', 'dell', 'dell', 'delltechnologies', 'internship']",64,9,0,0.14
