,Sentiment Score
0,Positive
1,Very Positive
2,Very Positive
3,Positive
4,Very Positive
5,Positive
6,Very Positive
7,Positive
8,Positive
9,Very Positive
10,Positive
11,Positive
12,Positive
13,Very Positive
14,Very Positive
15,Very Positive
16,Very Positive
17,Very Positive
18,Neutral
19,Positive
20,Positive
21,Positive
22,Very Positive
23,Very Positive
24,Positive
25,Very Positive
26,Positive
27,Positive
28,Positive
29,Positive
30,Positive
31,Positive
32,Positive
33,Neutral
34,Positive
35,Very Positive
36,Very Positive
37,Very Positive
38,Positive
39,Positive
40,Very Positive
41,Very Positive
42,Very Positive
43,Very Positive
44,Very Positive
45,Positive
46,Very Positive
47,Positive
48,Very Positive
49,Very Positive
50,Positive
51,Very Positive
52,Very Positive
53,Positive
54,Positive
55,Very Positive
56,Very Positive
57,Positive
58,Positive
59,Positive
60,Very Positive
61,Very Positive
62,Neutral
63,Very Positive
64,Very Positive
65,Positive
66,Very Positive
67,Very Positive
68,Very Positive
69,Very Positive
70,Positive
71,Positive
72,Positive
73,Very Positive
74,Positive
75,Positive
76,Positive
77,Neutral
78,Positive
79,Very Positive
80,Very Positive
81,Very Positive
82,Very Positive
83,Positive
84,Very Positive
85,Very Positive
86,Very Positive
87,Very Positive
88,Very Positive
89,Positive
90,Very Positive
91,Positive
92,Very Positive
93,Positive
94,Positive
95,Negative
96,Positive
97,Positive
98,Positive
99,Very Positive
100,Very Positive
101,Very Positive
102,Very Positive
103,Very Positive
104,Very Positive
105,Positive
106,Very Positive
107,Very Positive
