,Sentiment Score
0,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Positive
6,Neutral
7,Neutral
8,Neutral
9,Positive
10,Neutral
11,Positive
12,Positive
13,Positive
14,Positive
15,Positive
16,Positive
17,Negative
18,Positive
19,Positive
20,Neutral
21,Neutral
22,Positive
23,Positive
24,Positive
25,Negative
26,Positive
27,Neutral
28,Positive
29,Positive
30,Neutral
31,Positive
32,Positive
33,Positive
34,Positive
35,Positive
36,Positive
37,Positive
38,Neutral
39,Negative
40,Positive
41,Positive
42,Positive
43,Positive
44,Positive
45,Positive
46,Positive
47,Positive
48,Neutral
49,Neutral
50,Negative
51,Positive
52,Neutral
53,Neutral
54,Positive
55,Positive
56,Neutral
57,Neutral
58,Positive
59,Neutral
60,Negative
61,Neutral
62,Neutral
63,Negative
64,Positive
65,Negative
66,Positive
67,Positive
68,Positive
69,Negative
70,Negative
71,Positive
72,Positive
73,Negative
74,Positive
75,Positive
76,Positive
77,Neutral
78,Positive
79,Positive
80,Positive
81,Positive
82,Positive
83,Positive
84,Positive
85,Neutral
86,Positive
87,Neutral
88,Positive
89,Neutral
90,Positive
91,Positive
92,Positive
93,Positive
94,Positive
95,Positive
96,Positive
97,Positive
98,Positive
99,Neutral
100,Neutral
101,Positive
102,Positive
103,Positive
104,Neutral
105,Positive
106,Positive
107,Negative
108,Positive
109,Negative
110,Neutral
111,Neutral
112,Positive
113,Neutral
114,Positive
115,Positive
116,Positive
117,Positive
118,Positive
119,Positive
120,Positive
121,Positive
122,Positive
123,Positive
124,Positive
125,Neutral
126,Positive
127,Positive
128,Positive
129,Positive
130,Neutral
131,Positive
132,Positive
133,Positive
134,Neutral
135,Neutral
136,Neutral
137,Neutral
138,Positive
139,Neutral
140,Neutral
141,Negative
142,Positive
143,Neutral
144,Negative
145,Positive
146,Positive
147,Positive
148,Positive
149,Positive
150,Positive
151,Negative
152,Positive
153,Positive
154,Negative
155,Neutral
156,Neutral
157,Positive
158,Neutral
159,Positive
160,Neutral
161,Negative
162,Neutral
163,Neutral
164,Negative
165,Negative
166,Positive
167,Positive
168,Neutral
169,Positive
170,Neutral
171,Positive
172,Negative
173,Negative
174,Neutral
175,Positive
176,Neutral
177,Positive
178,Neutral
179,Neutral
180,Neutral
181,Positive
182,Positive
183,Neutral
184,Positive
185,Positive
186,Neutral
187,Positive
188,Positive
189,Negative
190,Positive
191,Neutral
192,Positive
193,Neutral
194,Neutral
195,Neutral
196,Positive
197,Positive
198,Positive
199,Neutral
200,Positive
201,Neutral
202,Positive
203,Positive
204,Neutral
205,Positive
206,Positive
207,Positive
208,Positive
209,Positive
210,Positive
211,Positive
212,Positive
213,Positive
214,Positive
215,Negative
216,Neutral
217,Neutral
218,Positive
219,Neutral
220,Neutral
221,Negative
222,Positive
223,Negative
224,Positive
225,Positive
226,Positive
227,Neutral
228,Positive
229,Negative
230,Positive
231,Positive
232,Positive
233,Neutral
234,Negative
235,Positive
236,Neutral
237,Positive
238,Neutral
239,Neutral
240,Positive
241,Positive
242,Positive
243,Positive
244,Positive
245,Positive
246,Positive
247,Neutral
248,Negative
249,Positive
250,Positive
251,Neutral
252,Neutral
253,Neutral
254,Positive
255,Neutral
256,Neutral
257,Positive
258,Neutral
259,Neutral
260,Positive
261,Neutral
262,Positive
263,Positive
264,Positive
265,Positive
266,Positive
267,Positive
268,Neutral
269,Positive
270,Positive
271,Positive
272,Positive
273,Positive
274,Positive
275,Positive
276,Neutral
277,Positive
278,Positive
279,Neutral
280,Positive
281,Neutral
282,Neutral
283,Neutral
284,Positive
285,Neutral
286,Positive
287,Negative
288,Positive
289,Positive
290,Neutral
291,Positive
292,Positive
293,Positive
294,Positive
295,Neutral
296,Positive
297,Neutral
298,Neutral
299,Neutral
300,Neutral
301,Neutral
302,Neutral
303,Neutral
304,Neutral
305,Neutral
306,Neutral
307,Neutral
308,Negative
309,Neutral
310,Neutral
311,Neutral
312,Neutral
313,Neutral
314,Neutral
315,Neutral
316,Neutral
317,Neutral
318,Neutral
319,Neutral
320,Positive
321,Positive
322,Negative
323,Positive
324,Neutral
325,Positive
326,Neutral
327,Positive
328,Positive
329,Positive
330,Positive
331,Positive
332,Positive
333,Positive
334,Positive
335,Positive
336,Positive
337,Positive
338,Positive
339,Neutral
340,Neutral
341,Positive
342,Neutral
343,Neutral
344,Neutral
345,Neutral
346,Neutral
347,Neutral
348,Neutral
349,Positive
350,Neutral
351,Positive
352,Positive
353,Negative
354,Positive
355,Positive
356,Positive
357,Positive
358,Negative
359,Positive
360,Positive
361,Neutral
362,Positive
363,Neutral
364,Positive
365,Neutral
366,Neutral
367,Positive
368,Positive
369,Positive
370,Positive
371,Neutral
372,Positive
373,Positive
374,Negative
375,Neutral
376,Neutral
377,Neutral
378,Positive
379,Positive
380,Neutral
381,Positive
382,Positive
383,Positive
384,Neutral
385,Negative
386,Positive
387,Positive
388,Neutral
389,Neutral
390,Neutral
391,Neutral
392,Neutral
393,Neutral
394,Neutral
395,Positive
396,Positive
397,Positive
398,Neutral
399,Positive
400,Positive
401,Neutral
402,Positive
403,Neutral
404,Neutral
405,Positive
406,Positive
407,Neutral
408,Negative
409,Neutral
410,Neutral
411,Positive
412,Neutral
413,Neutral
414,Positive
415,Positive
416,Positive
417,Positive
418,Positive
419,Negative
420,Neutral
421,Positive
422,Positive
423,Positive
424,Neutral
425,Neutral
426,Positive
427,Neutral
428,Neutral
429,Positive
430,Positive
431,Positive
432,Positive
433,Neutral
434,Positive
435,Positive
436,Positive
437,Positive
438,Positive
439,Positive
440,Neutral
441,Positive
442,Positive
443,Positive
444,Neutral
445,Positive
446,Positive
447,Neutral
448,Neutral
449,Positive
450,Negative
451,Neutral
452,Positive
453,Positive
454,Neutral
455,Positive
456,Positive
457,Positive
458,Positive
459,Positive
460,Neutral
461,Positive
462,Positive
463,Neutral
464,Positive
465,Positive
466,Neutral
467,Negative
468,Positive
469,Negative
470,Negative
