Hackathon Name,Number of participants,Host,Online/Physical,prizes,interest
TPCC DMIG: The Green Micro:bit Challenge,27,Tanjong Pagar Community Club DMIG,Tanjong Pagar Community Club,"$1,200","['Social Good', 'Education', 'Beginner Friendly']"
Singapore Blockchain Innovation Challenge 2022,5,Singapore Blockchain Innovation Programe,Online,"$10,000",['Blockchain']
BlockHack Global FE 2022,35,Bitcoin Bay,Sheldon & Tracy Levy SLC,$CAD400,"['Blockchain', 'Education', 'Fintech']"
ADES Project Showcase AY2223S1,65,"Singapore Polytechnic, SoC ADES",Online,$0,"['Open Ended', 'Web']"
SMU LIT Hackathon 2021,103,Singapore Management University,Online,"$3,000","['Cybersecurity', 'Productivity', 'Communication']"
SMU LIT Hackathon 2022,70,Singapore Management University,Online,"$11,500","['Cybersecurity', 'Machine Learning/AI', 'Productivity']"
COVID-19 Idea Sprint with GovTech Singapore,320,Singapore Government,Online,$0,"['Social Good', 'COVID-19']"
AWS Hackdays | Special Edition Machine Learning,18,Amazon,Singapore,"$25,000",[]
Deprecated,13,unknown,Singapore,$1,['E-commerce/Retail']
BlockChamps 2022,132,Ethlas,Virtual / Ethlas Office,"$3,180","['Blockchain', 'Gaming', 'Web']"
Hack For Good 2020,75,,"Seminar Room 1, COM1 02-06",$0,['Social Good']
Accounting Innovation Challenge 2019,133,,IMDA PIXEL Studios,"$10,000",[]
Accounting Innovation Challenge 2018,75,,IMDA PIXEL Studios,"$10,000",[]
GIIS HACKATHON 2022,106,GIIS,"GIIS Smart Campus, Singapore, Punggol","$1,000","['Beginner Friendly', 'Health', 'Social Good']"
Park of the Future Hackathon: Reimagining the Commercial Park,34,,CoSpace Park,"$2,500",[]
Salt Category Submission,23,,"Singapore, Singapore",$0,['Gaming']
Science 2025: Towards Science Communication for SG60,7,,Science Centre Singapore,"$16,000",[]
YouthHacks,3,,Developer Space @ Google Singapore,"$17,000",[]
What The Hack 2020: Environment Edition,1,,Singapore University of Technology and Design,$0,"['Machine Learning/AI', 'IoT', 'Social Good']"
COMIT Hackathon - Atomic Swaps for your Application,0,,"TenX Office Singapore, Level 7",$0,"['Blockchain', 'Fintech']"
DigiFest,54,,Siemens Centre,"$6,500",[]
"#OMRS15 | Mingle, Learn, Share and Build reality.",9,,Singapore Management University,$1,[]
FOSSASIA UNESCO Open Science and Data Hackathon,84,,Lifelong Learning Institute,"$2,400",[]
CodeCircles Data Hackathon,12,,Informatics Academy City Campus,"$1,250",[]
GIIS Hackathon 2k18,40,,GIIS Auditorium,$0,[]
CodeFiesta 2021 Final Submission,35,CodeFiesta Team,Online,"$6,842","['Beginner Friendly', 'Social Good']"
AWS Build On 2022,74,Amazon,Online,"$2,800","['E-commerce/Retail', 'Machine Learning/AI', 'Health']"
SG100 Nation Hackathon,10,,No location yet,$0,[]
#codeathonX KL 2019,19,,University of Malaya,$0,[]
KVision x VIISA Hackathon: Building Co-Innovation,32,,"UP Co-Working Space, Ho Chi Minh City, 24th Floor, Deutsche Haus","$80,000",[]
Knowlarity API Hackathon,6,,"Bengaluru, India",$0,[]
