,Post
0,"Despite all of the attention paid to today's leadership transition and recent events over Taiwan, it is competition over technology that is the sharp end of Sino-US competition — and especially so since the publication earlier this month of a radical new US strategy to deny Beijing access to advanced semiconductors. My latest piece in The Straits Times.
…see more"
1,"I sustained an injury last month that will likely put me out of competition for the whole year, lol. So I have repurposed my skateboards for rehabilitation.Recovery requires setting goals and making progress towards them. Recovery is not about getting back the past, but moving forward into the future. Say, the goal is to walk. So you break down the things you need to do in order to walk. For example, you need to alternatively put all your weight on one leg, balance on it, lift up your other leg, and swing it forward. And so you practice those things in part, then in whole. Sometimes you have to make things harder to make things easier. In the video, I’m trying to retrain my body to balance on my affected left leg while walking. The action is similar to walking. But the skateboard is unstable, and swinging the other leg makes it even more unstable. So everything has to work harder. Under normal circumstances, balance would hopefully be not so challenging, and that’s the point. But because it’s challenging I expect to fail often, lol. That’s why the wall is there, haha. Recovery requires effort, and effort requires hope. But sometimes things may seems hopeless. Progress gives hope but nothing seems to happening! So how? Small or big, a step forward is a step forward. If a even a small step seems hopeless, break it down to even smaller steps.About 4 weeks ago, I couldn’t even control my foot, much less my leg. So balancing on two legs was not possible, what more on one leg, lol. So, I need smaller milestones. I spend a few hours a day for a few days, “exercising” my motionless foot, instructing it to lift like the other foot. “See what your bro is doing! Follow! Like you are trying to flip a skateboard, haha!” A few days I felt my toes twitching, but couldn’t see anything. Then my toes lifted slightly. A few days the whole foot lifted off the floor. So, be kind to yourself! Don’t wait for hope! Make hope!  A step forward is a step forward, no matter how big or small. What’s your experience?P.S. Please don’t try this at home or anywhere for that matter, haha. Ok, seriously, don’t. The stuff you see me doing in this video was definitely not recommended by my doctors or therapists.Reflections on #bekindtoyourself #recovery #hope
…see more"
2,"Spent 2 days in Penang for the EMS skills competition during monsoon season to judge 72 first responder and paramedic teams competing in the wilderness. This was followed by 2 days at the College of Emergency Medicine Malaysia conference to give a lecture on resuscitation and judge a scientific poster session. Finally it’s off to UiTM campus where the EMS medical director workshop was held to talk about ambulance safety and share at a roundtable session on international EM with Ali Haedar  Sattha Riyapan & Faith Joan Gaerlan. Why do I still go trudging through the mud and see what goes on at the frontlines? It’s very easy to get too comfortable behind a desk and get disconnected to the ground realities. Hence I still spend a little bit of time at the ED to stay in touch with Emergency Medicine and the EMS system. It’s a nice change from the day to day policy and administrative work.
…see more"
3,"Competition Policy International (CPI) provides comprehensive resources and continuing education for the global antitrust and competition policy community. Created and managed by leaders in the competition policy community, CPI delivers timely commentary and analysis on antitrust and global competition policy matters..."
4,We work to promote competition for the benefit of consumers across the UK.
5,The Competition Commission has a range of functions in terms of Section 21 of the Competition Act. These include investigating anti-competitive conduct in contravention of the Chapter 2 of the Act; assessing the impact of mergers and acquisitions on competition and taking appropriate action; monitoring competition...
6,"Sales & Marketing Internship Opportunities
Equinix
Singapore, Singapore (On-site)
Actively recruiting
1 week ago
•24 applicants
Save"
7,"Product Manager
Abbott
Singapore, Singapore (Hybrid)
Actively recruiting
2 days ago
Save"
8,"Product Analyst - Digital Business Services
HSBC
Singapore, Singapore (Hybrid)
Actively recruiting
4 days ago
Save"
9,Certifications: Introduction to Competition Law and Economics 2022 CLIP training Programme
