post,background
🔥 Si sono conclusi oggi i due giorni dell' Hackathon Bologna Business School - Università di Bologna organizzato da GELLIFY che avevano lo scopo di far risolvere alla classe due challenge presentate da 4 startup selezionate (tra cui noi di 😎).    🙌🏻 E' stato un onore per me presentare la società a un gruppo cosi eterogeneo e dinamico.    ✅ Ringrazio e per l'invito e i ragazzi che hanno analizzato il business di proponendo soluzioni nuove e davvero interessanti!  Grazie ancora a:              P.s: ultimo piccolo vanto perchè la challenge è stata vinta proprio da loro 😎,CEO & CO-FOUNDER di M2TEST | COO & CO-FOUNDER di Coyzy | Owner di VOICEN | Life Coach
"I’m delighted to share that I’m starting a new position as Summer Intern at Dell Technologies!    This would not have been possible without the help of my teammates , , Devansh and Raghav who helped us win Dell's Hackathon ""Hack 2 Hire"".    I'd also like to thank the for providing me with this opportunity.    I'm excited for a summer packed with new experiences and lessons.",Summer Intern at Dell Technologies
"Dedicating my first LinkedIn post to my achievement on the Dell hackathon Hack2Hire. We created a website for inventory management by scraping the data from the email and updating the data to our inventory table. Due to time constrain we only used basic HTML CSS, jQuery for the front end, and PHP for our backend. After a day of continuous coding, we managed to hit the third place in the hackathon. And the great thing was that my teammates also managed to secure a job placement at Dell. Congrats to my teammates , , , and wishing them all good luck on your new journey and a huge thank you to our mentor who guided and helped us to develop a better solution for this hackathon.",Full Stack Developer at SoftwareQ
"hello, I'm interested in joining dell hackathon, is there any team looking for an ML engineer?",Machine Learning Engineer | MSc Student
Oggi ultima sessione di lezioni dell' hackathon di ENEA - summer school Roberto Moneta - rivolto all'efficienza energetica degli edifici,Expert in energy storage systems and green energy technology.
"Hard to believe I've been with #delltechnologies two months already. Two highlights so far would be volunteering at the #vexrobotics event and visiting the Limerick office for the #GenNextIreland event. Currently I'm taking part in the Dell Hackathon, giving me the opportunity to collaborate with interns from various areas of the organisation",MA in Global Business Practice | MTU Marketing Graduate
"Roma, Lunedì 29 Novembre   Un confronto con la formula dell’ hackathon per individuare criticità e soluzioni.  Diretta streaming tramite il canale Youtube dell’ Ordine degli Avv.ti di Roma","1,143 followers"
"Primo giorno del Summer Tech Camp #aixgirls. Esperienza entusiasmante ed unica. 20 ragazze motivate, curiose, educate, piene di voglia di imparare, che hanno l’opportunità di conoscere altre ragazze provenienti da tutt’Italia con la stessa passione per le tecnologie e l’innovazione. Oggi ha avviato i lavori con l’asssessment di ingresso e la presentazione delle ragazze , e dopo una mia lezione su industria 4.0, , e ha fatto un intervento molto stimolante Lorenzo Di Pietrantonio sulla Diversity & Inclusione, ESG, sostenibilità e sul perché una organizzazione come investe nella formazione delle giovani donne. Il pomeriggio ha introdotto le piattaforma per i laboratori e ha impostato il lavoro dei gruppi in vista dell’ hackathon. Giornata conclusa in piscina per le ragazze e con un buon aperitivo a Volterra per lo staff e faculty. Grazie e !      Lorenzo Di Pietrantonio","Computer Scientist, CEO Daxo Group, President Donne 4.0, AIxGIRLS Founder, Women Rights Expert & Advocate, TEDx Speaker, Artificial Intelligence / Ethics Expert, Author"
My team(in Dell hackathon) needs skilled team members in UI  If you are interested please send me a message,Data Scientist | Actuarial Analyst | AWS Community Builder | Master degree in Data Science (proceeding)
"Oggi e’ iniziato ""AixGirls"", primo summer camp tutto femminile dedicato all’Intelligenza Artificiale.  Venti ragazze tostissime arrivate da tutta Italia hanno iniziato a conoscersi tra loro grazie all’introduzione tenuta da . ha poi parlato di Industria 4.0, tecnologie abilitanti, digital gender gap e dei bias dell’IA. Lorenzo Di Pietrantonio ha fatto un intervento sulla Diversity & Inclusione, ESG, sostenibilità e ha spiegato come mai un'organizzazione come  investe nella formazione delle giovani donne.    Nel pomeriggio siamo passati alla parte pratica ed ho avuto il piacere di guidare le ragazze nel programmazione la loro prima applicazione di intelligenza artificiale con . Inoltre abbiamo impostato i gruppi in vista dell' hackathon.    Proprio una bella giornata intensa e ricca di soddisfazioni.",Cloud Business Mgr. Southern Europe in HPE I Passionate about AI and Digital Transformation I Coding for Kids I Speaker I Donne 4.0
