,Post
0,"Glad to be part of BNP Paribas 2022 Singapore eXcite Hackathon. #Innovatingforthebank #innovatingwiththebank

#bnpparibas #singapore #eXciteHackathon #csrinitiative"
1,"I remember taking part in my first #hackathon, which basically came up with an (rather embarrassingly named) app for isolated elderly to get connected called... ""Tinderly"" 📱

Well I'm sure that there are many better ideas that can be unleashed with the best of Google Cloud's tech, and we're excited to host them at our recently-launched Google for Startups Cloud Hackathon Singapore 2022!

📣  Calling all students, educators, IHLs, aspiring founders and incubators, will be grateful if you can help spread the word! Find out more and start registering your teams today (closes 8 May) to tackle topics including #sustainability, #AI and #ML at https://goo.gle/35UPZAg

🎈Driven by some of my amazing Cloud Engineer colleagues, whom I absolutely enjoy working with: Jolene Teo Eun-sun Cho Abhishek Bhagwat Stephen Davern"
2,"I recently returned to manage an event, but this time with new friends and a new position: as one of four coordinators of Curtin Singapore's HACKATHON Event. Despite the fact that ComSSA, Curtin Australia, and Curtin Singapore only collaborated for two days, I learnt a lot from these activities, including work culture, the cycle of hosting an event at Curtin Singapore, leadership, and offering solutions...

Hopefully, in the future, I will be able to study more and take on greater responsibilities at Curtin Singapore. #leadership #event #singapore"
3,"So excited to announce WPB Singapore’s hackathon (Futurum!2022) is officially live. Calling all fintechs globally to submit your ideas around open banking, sustainability and health & wellness! Finalists will be invited to present at HSBC and winners will be announced during Singapore Fintech Festival this year.

Deadline to submit - September 2nd, 2022
https://lnkd.in/g2nbkUMY

Anurag Mathur Melissa Craig Ranojoy D. Jen Flowers 杜敏 Manish Diwaan
#hsbchackathon2022 #hsbc"
4,"☕️ Big news for startups - The Google for Startups Cloud Hackathon Singapore 2022 is live !!

Join the hackathon today !!! 🚀 🚀

#googlecloud #startups"
5,"It has truly been a great experience and learning journey being a participant in UNLEASH Singapore Hackathon 2022. The hackathon tasked us with identifying innovative solutions toward achieving the UN SDGs (specifically on climate change, education and health). We also had guests speakers to talk on key topics such as #ecoanxiety #venturecapital.

Being an enthusiast of sustainability and believing that corporates can play a significant role towards a net-zero future, I knew I had to join this hackathon and learn from the community to think of solutions.

Throughout the hackathon week, I was mentally stretched as our team had to rethink our problem statement and continuously use probing questions to find the root causes. We looked into #greenjobs #corporatesustainability and #employability.

The beauty of the UNLEASH methodology (Problem framing -> Ideation -> Empathising -> Prototyping -> Pitching) was truly rigorous and I did doubt my mental capabilities at times. Nonetheless, I always believe it is only through tough processes that one can make oneself improve. From the process, I do feel more confident in finding tensions in society and ideating solutions. After all, it is useless to rehash current solutions and reinvent the wheel. What we need to do is to find gaps in the market and solve them collaboratively.

Overall, this enjoyable hackathon process would not have been possible without my valuable teammates (Yiong Jon Lon , Meiyu, Jiezhi and Nicholas), mentors and organisers.

Till next time!

#sustainability #hackathon #growth"
6,"Glad to participate in the first ever eXcite Hackathon organized by Design Factory Asia in BNPP Paribas Singapore - Indeed a true and enriching exposure to apply #designthinking methodology to innovate for the bank, with the bank.
#eXciteHackathon #bnpparibassingapore #designfactoryasia
The overall experience was elevated with our team winning the 2nd prize - which includes tickets to Singapore FinTech Festival and a tree planted on behalf of each member of the winning team!
Thanks Robyn Lee and team for impeccable organization of the event
Priya Alva Tze Chuan Lim"
7,"Over the past 2 weeks, I participated in Crypto.com's hackathon, with some awesome people - Colin Chan, Yong Kang Chia, Kasshif Mohamed, and Adithya - and I'm proud to say that we emerged as champions!

Our project focuses on decentralised cooperative banking, where we enable people to pool their funds together, specifically for those living in areas where traditional banking infra is lacking. Hence, we named our product DeCoop.

While we had many great ideas, we focussed on creating an MVP where users can easily create/join community funds through a Telegram bot, which generates links / QR codes to execute an on-chain transaction seamlessly. For this hackathon, we also built an analytics web app for users to manage the community funds that they are involved in, along with some macro statistics.

Here are the links for those interested:
- analytics app: https://decoop.vercel.app/
- telegram bot: https://t.me/decoop_bot
- code: https://lnkd.in/g7NYYQNJ

The hackathon was a great experience, and it was nice meeting other passionate builders in Singapore as well!

#cooperativebanking #crypto #hackathon"
8,"💡 Idea conceived on Wednesday
💻 Tech stack decided on Thursday
📲 MVP pitched on Friday

Presenting Team 28 from UBS Singapore @ Hackathon 2022

Louise Kow Leslie Wang Dhriti Trehan Venkatesh Kamma Hazron Khairy Brayden Leo

#team #singapore #hackathon #returntooffice #returntowork #makingworkfun"
9,"Proud to announce that my team won the recognition of People's Choice for Dell Technologies ISG hackathon in Singapore.

#delltechnologies #hackathons #singaporejobs #teamwork"
10,LD Capital will be at #2049 in Singapore & #Aptos Hackathon in NYC and is already excited to meet great BUIDLers and peers! Drop a message or just drop by! #singapore #2049 #blockchain #hackathon #Aptos #VCs #meetup
11,"Microsoft Singapore PowerApps Hackathon 2022

Awesome time.. this time no more a virtual environment..

Last year was a honorable mentioned.. this year we managed to clinch 3rd..

Thank you Microsoft for this awesome opportunity to allow us to work on Power Platform on an education theme of collaboration!

#microsoft
#powerapps
#powerautomate"
12,"I am proud to announce that I have graduated from Nanyang Technological University (NTU) with BSc Honours (Highest Distinction) in Data Science and Artificial Intelligence (DSAI) and a minor in Economics. It was my honour to receive my degree certificate from the President of Singapore and the NTU Chancellor, Her Excellency Madam Halimah Yacob herself.

These four years have passed in the blink of an eye but I have had the opportunity to connect with some brilliant minds and had experiences of a lifetime. To be part of NTU’s pioneering batch of students graduating in DSAI was such a unique opportunity. I consider myself lucky to be among twenty three  other driven, ambitious and futuristic classmates who taught me valuable life lessons. 

Being part of NTUMUN 2020-21 secretariat as a USG, being featured among the top ten teams in the Singapore India Hackathon 2019-20 and my internships with Inteliment, Singapore Airlines and Bank of America are some indelible memories outside of my course that proved to be amazing  learning opportunities. 

I would like to thank my professors - Prof Sourav Sen Gupta, Prof Jagath Rajapakse, Prof Akshar Saxena and Dr. Parvin Kumar, Ph.D. for being such impactful mentors. I am also grateful to my parents, friends and peers for their constant support and encouragement.

I am happy to share that I have kick-started my career with Bank of America as a Technology Analyst. Here’s to new beginnings and new learnings and hope the dream runs on….

#ntu #classof2022 #datascience #technology #bankofamerica"
