post,background
"We are delighted to have Deputy Commissioner How Hwa Teong, Deputy Commissioner Young Ern Ling and Singapore Civil Defence Force (SCDF) leadership team visit us at the Dell Technologies Executive Briefing and Solution Center.      We discussed with SCDF on harnessing the strength of technology and people which forms the foundation of our partnerships, including SCDF and DELL Lifesavers' Innovation Challenge 2022. We showcased some of these solutions that are built on such principles and also shared with SCDFs on our partnerships with key global cities in their digitalization strategies and implementations.     Singapore is our APJ headquarters, home to our Global Innovation Hub under our 'Digital Future- Made in Singapore’ initiative, and an important market for us. We continue to deliver our commitment to empower 5,000 tertiary students with in-demand tech skills over the next 2 years. Together with SCDF, we hope to tap on their innovative development, bring new testbeds that leverage on technology & innovation, to move Singapore closer to the be a nation of lifesavers.       , ,    , , , , , , , , , , , , , , ,       ",Senior Director Cloud Native Dell Technologies and VMware; 1st Vice Chair Smart Nation Chapter SGTech
"Our team is proud to be the named technology partner for the Singapore Civil Defence Force & Dell Technologies LifeSavers Innovation Challenge 2022!     We’re calling out to all Tertiary students from Universities, Junior Colleges, Polytechnics and ITEs to put forth your best ideas to innovate and design solutions that will enable our lifesavers to be ever ready to respond.     From now till 29th May, register as a team or an individual to stand a chance to win up to S$10,000!     For more information, visit",Cloud Native Strategist at Dell Technologies and VMware
"In SCDF and Dell's Innovation Lifesavers' Innovation Challenge 2022, my TEAM TAGAR won 2nd Place.    I took advantage of my summer break to participate in my first hackathon - SCDF and Dell's Innovation Lifesavers' Innovation Challenge 2022 - with my TAGAR teammates: Godwinn W.    Our project aims to help reduce SCDF Paramedics' cognitive workload by pulling vital information from existing government sources and dispatcher call logs, tagging them with a neural network, and presenting it in an easy-to-read and accessible way. Through our application, we also made case-specific Just-in-Time revisions easily accessible.    Having served national service as a Medic, my team and I understood the benefits of ground-up solutions and paid particular attention to the processes of the paramedics during our ideation. By improving the processes, we then aimed to increase their germane load without changing the way they think or act.    The experience of working with cloud computing technologies and machine learning was brand-new to me. Designing and developing a cloud-native minimum viable product (MVP) in less than 4 days inclusive of containerisation and pushing to Dell's VMware was a challenge. Furthermore, I learned a lot about machine learning concepts related to text classification specifically bags of word models.    Through this experience, I gained essential developer skills such as Flask, Dockers, and Tanzu App. Though I am only scratching the surface of what I can do with my development skills, I am happy to announce that I have found my passion and interest in being a developer. The fact that I participated and gave it my best is extremely rewarding to me.    Special Thanks  Thanks to Dell Technologies and Singapore Civil Defence Force for organising this hackathon. Special shoutout to and his fellow Dell mentors for their patience and guidance throughout the hackathon.",Tenacious Self-Starter Who Loves Developing Software
"I am proud to announce that my TEAM TAGAR came in 2nd Place in SCDF and Dell’s Innovation Lifesavers’ Innovation Challenge 2022.    This summer break (1/6/22 – 9/7/22), I took the opportunity to push myself further by attending my first innovation/ hackathon – SCDF and Dell’s Innovation Lifesavers’ Innovation Challenge 2022- together with my TAGAR teammates:    Our project idea aimed to help reduce SCDF Paramedics’ cognitive workload by pulling vital information from existing government sources and dispatcher call logs, tagging them with a neural network and displaying it with an easy to read and user-friendly UI. Furthermore, we made case-specific Just-in-Time revision easily accessible through our application.    Having served national service, we understood the benefits of ground-up solutions and paid special attention to the processes of the paramedics during our ideation. Our solution then aimed to maximise their germane load by improving the processes without placing change on the way they think or operate.     Working with cloud computing technologies was a first for me. It was a gruelling task to design and develop a cloud-native minimal viable product (MVP) in less than 4 days inclusive of containerisation and pushing to VMware’s cloud. I gain valuable knowledge on project management using an Agile Framework as well as crucial developer skills such as Flask, Laravel, and VMware Tanzu Application Service. This hackathon gave me the confidence that I lacked, and I am extremely happy to have participated and given it my all. If given the opportunity, my team and I look forward to furthering the development of the product.    Thanks to and for organising this hackathon. Special shoutout to and his fellow Dell mentors for their patience and guidance throughout the hackathon. Last but not least, the men and women from the 4th SCDF DIV HQ for the valuable sharing sessions.",Undergraduate in Information Systems | Aspiring Full Stack Developer
"[SCDF and DELL Lifesavers' Innovation Challenge 2022]    The past few months has been an exciting time where the Cloud Native Architecture (CNA) team, worked closely with the to support participants from various Institutes of Higher Learning in their journeys to address emergency preparedness and pre-hospital medical care.      We shared our expertise in Cloud Native Technologies and Agile Software Development as the teams progressed through their Hackathon journeys. Talent has been, and will continue to be key in transforming technology into impactful, innovative ideas. We are committed to continue providing our expertise and supporting the developments of such innovative solutions.      Special thanks to our colleagues and partners who contributed to making the Hackathon a success.      , ,    , , ,    , Joanne Jose, , ,    , , , , , , , , , , , , , , , , , , , ,       ",Senior Director Cloud Native Dell Technologies and VMware; 1st Vice Chair Smart Nation Chapter SGTech
"Whew, I still can’t believe 2021 flew by so quickly. Want to do a 2021 roundup before the year ends.    Earlier this year, I was awarded the Student Category for The Cyber Security Awards (TCA) 2020. I’m deeply humbled and grateful for that.    I published an article on an introduction to honeypots, and if you haven’t already checked out, you can check it out here:    I’m also glad to have done a sharing session with earlier this year and am happy to see how the Interest Group have grown and thrived. Moreover, NYP SIT now has a thriving ecosystem of Interest Groups (NYP InfoSec, NYP DSC, NYP AI and NYP LIT).    Towards the middle of the year, I participated in the SCDFxIBM Lifesavers' Innovation Challenge: Call For Code 2021 with some of my polytechnic friends and walked away as the third runner-up.  You can check the video produced by our team here:  I happened to recently come across an article from CNA () that shows similar ideas being put on trial in real life which is exciting!    Towards the end of the year, I found some time to participate in 2 CTFs namely TISC and HTX Investigator’s Challenge. I was stuck at Level 2 for the TISC CTF and didn’t manage to move forward. For the HTX Investigator’s Challenge, my team and I finished at 38th place. Grateful to have found some time towards the end of the year to continue honing my cyber skills.    Moving forward into 2022, there are many things to be excited about. First, I will be starting university next year. I hope to be more involved with the cybersecurity communities next year. Hopefully, the COVID situation gets better next year and there will be more physical events for the community after 2 long years fighting the virus. We definitely have to live with the virus and move towards a new normal. I'm currently working on an article and I hope to publish it soon!",Graduated from Nanyang Polytechnic
"As part of Dell Technologies' initiatives in shaping the next generation of tech talent, we collaborate with strategic partners such as Singapore Civil Defence Force.  SCDF and Dell Lifesavers’ Innovation Challenge is a platform where these talents can exercise their creativity and technical knowledge to address real-life problem statements.      These 3 students from the top team of 2022's SCDF and Dell Lifesavers’ Innovation Challenge applied separately to the hackathon. They were grouped together to improve the emergency services attendance. Read on to find out how this trio used technology to reduce the cognitive workload of paramedics, enabling them to focus on what they did best.    , , , , , , , , , , , , , , , , , , , , ,    , ,            ",Senior Director Cloud Native Dell Technologies and VMware; 1st Vice Chair Smart Nation Chapter SGTech
"[SCDF and DELL Lifesavers' Innovation Challenge 2022]    Held on 9 July 2022 at HTNS Khatib, with the top five (5) teams from various institutions coming together for the Grand Finals where we co-create innovations with our young talents. This year marks our inaugural partnership with Dell Technologies.    A huge thank you to our guests of honours, SCDF's Deputy Commissioner (DC) , Deputy Commissioner (Strategy & Corporate Services) and , Vice President and Managing Director of , for gracing the event and presenting the awards to our winners.    Congratulations to the top 5 teams!!!    We look forward to the next SCDF and DELL Lifesavers' Innovation Challenge!","7,319 followers"
"The UNFPA Bangladesh Country Representative Kristine Blokus was being received in Camp 4 Hope Field Hospital-UKhiya by George Otieno the UNFPA-SRH Team Lead Cox's Bazar. The Visit took place on 25-8-2022 and was led by UNFPA Regional Director Bjorn Andersson. “The realities of humanitarian crises around the world and the need for multisectoral and innovative partnerships across all layers of society and the humanitarian community are visible here”said Kristine  Five years into the Rohingya people’s mass exodus to Bangladesh, caused by escalating violence and decades of marginalization, those who have sought refuge and normalcy continue to face great challenges, although their situation is more stable now.  Some traveled to Cox’s Bazar, currently the world’s largest refugee camp which houses close to one million Rohingya refugees. One would meet with Rohingya people, the host communities, the frontline workers including health care professionals and service providers and UNFPA’s partners, both governmental and civil society organizations. From these encounters and the good discussions One had with the community representatives and partners, one could witness how over the course of the last five years, everyone has come together to respond to the vast needs, including the refugees themselves who have endured immense trauma across generations.  From the onset of the crisis in 2017, UNFPA has established and gradually expanded programmes to respond to gender-based violence, provide sexual and reproductive health services, and empower and engage young people. Now there are 236 midwives who have received mentorship support and are putting those acquired skills into practice at both governmental and non-governmental health facilities. Women and girls are receiving lifesaving sexual and reproductive health services through 22 health facilities, 39 women- friendly spaces and 5 multi-purpose women centres which serve both Rohingya refugees and host communities. It was witnessed during the visit how effective referral between sexual and reproductive health, and gender- based violence response services helped to ensure that the needs of women and girls are met. At the UNFPA-supported Hope Field Hospital, we saw how midwives strive to ensure every mother delivers safely, despite complications that require urgent medical attention.  UNFPA is also strengthening the monitoring and surveillance of maternal mortality to ensure that the risks faced by women during pregnancy or childbirth are identified through joint approaches among the various humanitarian actors. We observed activities at a Women Led Community Centre, one of 10 such centres supported by UNFPA and our donors, and run by partners in Cox’s Bazar. The Centre supports women and girls through skills development and economic empowerment and is one important example stakeholders are coming together to fight gender-based violence, advance gender equality andwomen and girls in the Rohingya said Bjorn","Team Leader-Sexual, Reproductive Health and Rights Unit UNFPA, Cox’s Bazar & Coordinator SRH Working Group"
"I had the wonderful opportunity to write about how a kidney donation sparked a Tableau dashboard that helps educate and engage potential kidney donors. Thank you Mark Shulman, Sarah Kerr, Cambria Brown, and Jared Sathaye for sharing your story with me!    Read the story on how can help save lives — and how positive impact in the world starts with people.","Internal Communications, Tableau at Salesforce"
