post,background
View my verified achievement from Shopee Singapore.,NUS Business Analytics Undergraduate
View my verified achievement from Shopee Singapore.,Information Systems Undergraduate student in Singapore Management University (SMU)
View my verified achievement from Shopee Singapore.,NetSuite Back End Developer at PayVantage Global Singapore & PayVantage ANZ
View my verified achievement from Shopee Singapore.,Driven Individual Eager to Innovate and Lead Change
View my verified achievement from Shopee Singapore.,Sustainability | Building Physics | ESG
View my verified achievement from Shopee Singapore.,Graduate Computer Science Student at University of Wollongong (Conducted through Singapore Institute of Management)
View my verified achievement from Shopee Singapore.,Data Analyst @ Shopee | NUS MSBA graduate
View my verified achievement from Shopee Singapore.,Computer Science @ NUS
View my verified achievement from Shopee Singapore.,Student at Ngee Ann Polytechnic
View my verified achievement from Shopee Singapore.,Full-stack Developer at OCBC Bank
View my verified achievement from Shopee Singapore.,Computer Science and Design Undergraduate at Singapore University of Technology and Design | SM2 (Senior Middle 2) Scholar | Project Manager of IES
View my verified achievement from Shopee Singapore.,Senior Software Developer | Project Manager
View my verified achievement from Shopee Singapore.,Undergraduate at Singapore Management University 2022
View my verified achievement from Shopee Singapore.,Student at Singapore Polytechnic
View my verified achievement from Shopee Singapore.,Industrial Systems Engineering and Management @ National University of Singapore | Science & Technology Enthusiast
"It was a wonderful experience being a part of this year's Shopee Code League. While the coding challenges were tough, it was definitely a very fruitful session for me as I got to hone my coding skills through this event. A big thank you to my teammates for being so supportive throughout the challenge, and let's continue to learn together",Data Enthusiast | SMU Undergraduate | Smart City Management and Technology Major
View my verified achievement from Shopee Singapore.,--
View my verified achievement from Shopee Singapore.,Student at Nanyang Technological University
View my verified achievement from Shopee Singapore.,3rd Year business information system student and aspires to contribute to the Information Technology sector
View my verified achievement from Shopee Singapore.,Undergrad in NTU Computer Science
View my verified achievement from Shopee Singapore.,Software Engineer Intern at Motional | Undergraduate at DigiPen Institute of Technology Singapore
View my verified achievement from Shopee Singapore.,"Student at Goldsmiths, SIM -UOL. Technical Lead In SIM- IONS ( Innovation and Networking Society)"
Thank you Shopee for the fun and challenging questions!,Computer Science Sophomore | Python/R/C proficient | Grassroot Leader
"During this semester break, I participated in Shopee Code League 2022 with my teammates Goh Aik Leong and Kim Junghan.    This year's Code League participants were asked to solve challenging algorithmic puzzles developed by the Shopee Engineering Team. From the knowledge I learnt in my Year 1's module Data Structure and Algorithm(DSAG), I have decided to give it a go! Despite not winning any prizes, my first experience participating in a coding competition was extremely educational for me, as I got to gain insight into how coding can be used in real-life applications.    Thank you Shopee for hosting Code League and for providing this learning opportunity.",To Infinity and Beyond
View my verified achievement from Shopee Singapore.,Data Science and Analytics Student at National University of Singapore
Thank you Shopee for helping me grow as a coder!,SMU | Bsc Computer Science Sophomore
View my verified achievement from Shopee Singapore.,Analyst | Consultant | Software Engineer
View my verified achievement from Shopee Singapore.,Student at Republic Polytechnic (DBIS)
View my verified achievement from Shopee Singapore.,Student at PSB Academy
View my verified achievement from Shopee Singapore.,Was Manpower Officer at Singapore Police Force
View my verified achievement from Shopee Singapore.,Adore learning and gaining new knowledge
View my verified achievement from Shopee Singapore.,Final Year Computing Science undergraduate
Participated in the Shopee Code League 2022 for the first time and it was a tough one. Hope to join more events in the future and continuously improve myself in the IT field.,Computing Science Student
It was a great experience gathering with two of my ex-classmates Zuhairi Anuar and Kit F. for the Shopee Code League Challenge 2022!,Data Analyst
View my verified achievement from Shopee Singapore.,Year 2 in Ngee Ann Polytechnic studying Cybersecurity and Digital Forensics
View my verified achievement from Shopee Singapore.,Diploma of Financial Informatics | Proficient in coding in Python | Fluent in English and Chinese
View my verified achievement from Shopee Singapore.,Research Assistant (Materials) and Mechanical Engineering (EPD) Undergraduate at Singapore University of Technology and Design (SUTD)
View my verified achievement from Shopee Singapore.,Student in Temasek Polytechnic
View my verified achievement from Shopee Singapore.,--
View my verified achievement from Shopee Singapore.,Diploma in Information Technology
