Hackathon Name,Description,Host,Difficulty,Hackathon_type,year
DSC Solution Challenge 2021,The Google Developer Student Clubs - 2021 Solution Challenge mission is to solve for one or more of the United Nations 17 Sustainable Development Goals using Google technology.,Google,Difficulty: Advanced,Type: Software Development,2021
The Data Open 2021,"Citadel is proud to present The Data Open, a datathon competition taking place throughout the year at a series of top universities. At each event, participants work in teams to work through a large and complex dataset and then present their findings to a panel of judges.",Citadel,Difficulty: Advanced,Type: Quant,2021
Shopee Code League 2021,"Shopee Code League is a 3-week coding challenge consisting of 3 coding competitions open to all students and professionals across the region. The competitions, specially designed by the Shopee tech teams, cover data analytics, data science and algorithmic problems. Participants must analyse the datasets, draw insightful conclusions and solve the problems in a specified amount of time.",Shopee,Difficulty: Beginner,Type: Data Science,2021
AIfinity Hackathon,"Want to apply Machine Learning and Artificial Intelligence in cool ideas and meaningful projects? Join AIfinity, an 24-hour virtual Hackathon organized by MLDA@EEE, to push the boundaries of Machine Learning and Artificial Intelligence!",MLDA / NTU,Difficulty: Beginner,Type: Machine Learning,2021
iNTUition V7.0,"IEEE NTU Student Branch is pleased to announce the latest edition of its flagship 24-hour hackathon- iNTUition v7.0! iNTUition is one of the largest student-run hackathons across South-East Asia, offering today’s technologically savvy youth the opportunity to springboard their ideas from conceptualisation to reality! We'll be hosting it virtually 💻 this year, on 27-28 February 2021 🗓️.",IEEE / NTU,Difficulty: Beginner,Type: Product Development,2021
DSO-NUS CTF 2021,"DSO-NUS CTF 2021 is a cybersecurity Capture-The-Flag challenge open to all students from local tertiary institutions, jointly organised by DSO National Laboratories and NUS Computing. The CTF challenges are designed to teach fundamental principles and skills in malware/binary reverse-engineering for a practical or applied R&D career in cybersecurity.",DSO,Difficulty: Advanced,Type: CyberSecurity,2021
Google Hashcode 2021,"Hash Code is a team programming competition, organized by Google, for students and professionals around the world. You pick your team and programming language and we pick an engineering problem for you to solve. This year’s contest kicks off with an Online Qualifications, where your team can compete virtually from wherever you’d like, alongside your virtual Hub. Top teams will then be invited to compete from our virtual World Finals.",Google,Difficulty: Advanced,Type: Algorithm,2021
Microsoft Azure Virtual Hackathon 2021,"With unprecedented amounts of data being collected every second across the globe, there is an almost infinite amount of data available to tap into to derive useful insights for crucial decision making across industries. MICROSOFT is challenging you to provide innovative solutions in advanced data analytics and AI for a number of booming industries! Join individually or team up in groups of up to 4 members to submit your solutions now!",Microsoft,Difficulty: Advanced,Type: Data Analytics,2021
IdeasJam 2021,"Dream no more, it's time to turn your ideas into reality with IdeasJam2021! Form teams of 3-5 pax during the event, and exchange ideas with 15 renowned industry mentors and 5 specially invited guests on our judging panel. Together with a series of specially curated workshops, we will teach and show you what it takes to start up from a simple idea to taking it off into the market! Take this as an opportunity to learn, connect, and work with like-minded individuals, and stand a chance to win attractive prizes.",NTU@EEE,Difficulty: Beginner,Type: Product Development,2021
Dyson-NTU Innovation Challenge 2021,Have an idea or interest to raise the roof to urban farming or our day-to-day lives? Let your idea be nurtured with mentoring and workshops at the Dyson-NTU Innovation Challenge and stand a chance to win cash prizes and prototyping funds! Open to all NTU undergraduate and postgraduate students.,Dyson,Difficulty: Intermediate,Type: Engineering,2021
ASEAN-India Hackathon 2021,"The ASEAN-INDIA Hackathon, an initiative by the Hon’ble Prime Minister of India Mr. Narendra Modi, is proposed to be a 36 hours Hackathon which will offer unique opportunities to all 10 ASEAN countries (Indonesia, Malaysia, Philippines, Singapore, Thailand, Brunei, Laos, Myanmar, Cambodia and Vietnam) and India to forward their economic development through collaboration in education, science and technology, exchange of thoughtful leadership, work and collaboration on projects involving varied skilled individuals to develop cross country bonds and learn from each other’s strengths and also get acquainted with each other’s culture, values and work ethics.","Ministry of Education, India",Difficulty: Advanced,Type: Software Development,2020
Shopee UltraHackathon 2021,"Shopee believes that online shopping should be accessible, easy and enjoyable. This is the vision Shopee aspires to deliver on our platform, every single day. To become the top ecommerce platform in the region, we believe that having a strong technical team is key. In Shopee Ultra-Hackathon 2021, we are looking for talented and enthusiastic developers across the region to come together to ideate and build a better platform for millions of users across the region! We would love to work with the best minds to make the Shopee platform better than ever.",Shopee,Difficulty: Beginner,Type: Software Development,2020
Google Codejam 2021,"Code Jam is Google's longest running global coding competition, where programmers of all levels put their skills to the test. Competitors work their way through a series of online algorithmic puzzles to earn a spot at the World Finals, all for a chance to win the championship title and $15,000.",Google,Difficulty: Advanced,Type: Algorithm,2021
Innolympics 2021,The inaugural NCS Innolympics is an annual tournament for Asia’s leading innovators to display their problem-solving prowess in a tournament of mental agility and creativity for maximum positive social impact. At NCS we're huge fans of innovating to solve problems for the greater good.,NCS,Difficulty: Advanced,Type: Innovation,2021
Hack For Good 2021,"DSC SoC presents Hack For Good,a student-run hackathon whichseeks to inspire students to learnand use technology for socialcauses. Our innovation challengeis unique in that we are posingreal problem statements providedby NPOs in Singapore.",DSC NUS,Difficulty: Beginner,Type: Software Development,2021
2021 Better Working World Data Challenge,"In close partnership with Microsoft, the 2021 Better Working World Data Challenge is aimed at attracting students with an interest in making a real-world impact. The Challenge is a global 12-week challenge for students with an interest in data science, culminating in an awards ceremony with cash prizes for winners. Participants will use satellite data supplied by NASA to help tackle climate change and the fight against bushfires using applied AI. The solutions from the Challenge will help to reduce fatalities, damage and trauma by allowing fire authorities to answer critical questions, such as who they need to warn and what locations need to be evacuated.",Ernst & Young,Difficulty: Intermediate,Type: Data Science,2021
2021 UAiTED Innovation Competition,"The 2021 UAiTED Innovation Competition is designed to: Leverage high-tech innovation to facilitate ideas and solutions for problems related to some categories among the 17 Sustainable Development Goals (SDGs) announced by the United Nations (UN). Facilitate cross-regional, multicultural, and interdisciplinary global talent development.",UAiTED,Difficulty: Intermediate,Type: Innovation,2021
CODE_EXP 2021,"Harness the power of mobile app technologies to tackle some of the biggest challenges we face today! Form teams to design and develop solutions that leverage hybrid mobile application and cloud technologies and compete in this exciting hackathon. Online training will be provided on the afternoons of 7, 8, 10 and 11 June to ensure you have an engaging and fruitful Hackathon experience.",DSTA,Difficulty: Beginner,Type: Mobile App Development,2021
Cyber Defenders Discovery Camp 2021,Put your cybersecurity skills to the test! Take part in an exhilarating 48-hour team Jeopardy-style Capture-The-Flag competition from 23 to 25 June.,DSTA,Difficulty: Beginner,Type: Capture-The-Flag (CTF),2021
XRperience 2021,"Come experience the possibilities enabled by eXtended Reality (XR) – from hands-on creation of XR content to developing XR solutions for real use cases. Featuring hands-on workshops and a competition, XR will definitely captivate your attention.",DSTA,Difficulty: Intermediate,Type: Extended Reality,2021
Hack Alliance 2021,"NTU CoE and Dell are organising a university-wide hackathon, spanning across eight weeks between 14 May to 23 July. This is YOUR chance to attain product management and business communication skills from product ideation and development to marketing. You will also be under the guidance of industry mentors from Dell through the entire journey. All you need to do is form a team of five with at least one member each from business, engineering, and any other discipline.",Dell x NTU,Difficulty: Intermediate,Type: Product Development,2021
Lifesavers' Innovation Challenge 2021,"We are looking for innovative solutions that can radically improve our society’s readiness to respond. Participants would present an innovative business idea, integrating the use of AI, ML and IoT capabilities from IBM cloud, to craft their response to one of the problem statements.",SCDF x IBM,Difficulty: Intermediate,Type: Innovation,2021
SDG Open Hack Singapore 2021,"The SDG Open Hack is an atypical hackathon that promotes innovation & entrepreneurship, cultivates leadership, creativity, mobility, international competence, and teamwork ability. It is open to university students, encourages cross universities and disciplines to form a team to solve societal and/or environmental challenges, by way of learning UN 17 SDGs.",GGEF,Difficulty: Advanced,Type: Solution Development,2021
