,Hackathon Name,Description,Hackathon_type,year,description_filtered
0,DSC Solution Challenge 2021,The Google Developer Student Clubs - 2021 Solution Challenge mission is to solve for one or more of the United Nations 17 Sustainable Development Goals using Google technology.,Type: Software Development,2021,Google Developer Student Clubs Solution Challenge mission solve one United Nations Sustainable Development Goals using Google technology
1,The Data Open 2021,"Citadel is proud to present The Data Open, a datathon competition taking place throughout the year at a series of top universities. At each event, participants work in teams to work through a large and complex dataset and then present their findings to a panel of judges.",Type: Quant,2021,Citadel proud present Data Open datathon competition taking place throughout year series top university event participant work team work large complex dataset present finding panel judge
2,Shopee Code League 2021,"Shopee Code League is a 3-week coding challenge consisting of 3 coding competitions open to all students and professionals across the region. The competitions, specially designed by the Shopee tech teams, cover data analytics, data science and algorithmic problems. Participants must analyse the datasets, draw insightful conclusions and solve the problems in a specified amount of time.",Type: Data Science,2021,Shopee Code League week coding challenge consisting coding competition open student professional across region competition specially designed Shopee tech team cover data analytics data science algorithmic problem Participants must analyse datasets draw insightful conclusion solve problem specified amount time
3,AIfinity Hackathon,"Want to apply Machine Learning and Artificial Intelligence in cool ideas and meaningful projects? Join AIfinity, an 24-hour virtual Hackathon organized by MLDA@EEE, to push the boundaries of Machine Learning and Artificial Intelligence!",Type: Machine Learning,2021,Want apply Machine Learning Artificial Intelligence cool idea meaningful project Join AIfinity hour virtual Hackathon organized MLDA EEE push boundary Machine Learning Artificial Intelligence
4,iNTUition V7.0,"IEEE NTU Student Branch is pleased to announce the latest edition of its flagship 24-hour hackathon- iNTUition v7.0! iNTUition is one of the largest student-run hackathons across South-East Asia, offering today’s technologically savvy youth the opportunity to springboard their ideas from conceptualisation to reality! We'll be hosting it virtually 💻 this year, on 27-28 February 2021 🗓️.",Type: Product Development,2021,IEEE NTU Student Branch pleased announce latest edition flagship hour hackathon iNTUition v iNTUition one largest student run hackathons across South East Asia offering today technologically savvy youth opportunity springboard idea conceptualisation reality hosting virtually year February
5,DSO-NUS CTF 2021,"DSO-NUS CTF 2021 is a cybersecurity Capture-The-Flag challenge open to all students from local tertiary institutions, jointly organised by DSO National Laboratories and NUS Computing. The CTF challenges are designed to teach fundamental principles and skills in malware/binary reverse-engineering for a practical or applied R&D career in cybersecurity.",Type: CyberSecurity,2021,DSO NUS CTF cybersecurity Capture Flag challenge open student local tertiary institution jointly organised DSO National Laboratories NUS Computing CTF challenge designed teach fundamental principle skill malware binary reverse engineering practical applied R career cybersecurity
6,Google Hashcode 2021,"Hash Code is a team programming competition, organized by Google, for students and professionals around the world. You pick your team and programming language and we pick an engineering problem for you to solve. This year’s contest kicks off with an Online Qualifications, where your team can compete virtually from wherever you’d like, alongside your virtual Hub. Top teams will then be invited to compete from our virtual World Finals.",Type: Algorithm,2021,Hash Code team programming competition organized Google student professional around world pick team programming language pick engineering problem solve year contest kick Online Qualifications team compete virtually wherever like alongside virtual Hub Top team invited compete virtual World Finals
7,Microsoft Azure Virtual Hackathon 2021,"With unprecedented amounts of data being collected every second across the globe, there is an almost infinite amount of data available to tap into to derive useful insights for crucial decision making across industries. MICROSOFT is challenging you to provide innovative solutions in advanced data analytics and AI for a number of booming industries! Join individually or team up in groups of up to 4 members to submit your solutions now!",Type: Data Analytics,2021,unprecedented amount data collected every second across globe almost infinite amount data available tap derive useful insight crucial decision making across industry MICROSOFT challenging provide innovative solution advanced data analytics AI number booming industry Join individually team group member submit solution
8,IdeasJam 2021,"Dream no more, it's time to turn your ideas into reality with IdeasJam2021! Form teams of 3-5 pax during the event, and exchange ideas with 15 renowned industry mentors and 5 specially invited guests on our judging panel. Together with a series of specially curated workshops, we will teach and show you what it takes to start up from a simple idea to taking it off into the market! Take this as an opportunity to learn, connect, and work with like-minded individuals, and stand a chance to win attractive prizes.",Type: Product Development,2021,Dream time turn idea reality IdeasJam Form team pax event exchange idea renowned industry mentor specially invited guest judging panel Together series specially curated workshop teach show take start simple idea taking market Take opportunity learn connect work like minded individual stand chance win attractive prize
9,Dyson-NTU Innovation Challenge 2021,Have an idea or interest to raise the roof to urban farming or our day-to-day lives? Let your idea be nurtured with mentoring and workshops at the Dyson-NTU Innovation Challenge and stand a chance to win cash prizes and prototyping funds! Open to all NTU undergraduate and postgraduate students.,Type: Engineering,2021,idea interest raise roof urban farming day day life Let idea nurtured mentoring workshop Dyson NTU Innovation Challenge stand chance win cash prize prototyping fund Open NTU undergraduate postgraduate student
10,ASEAN-India Hackathon 2021,"The ASEAN-INDIA Hackathon, an initiative by the Hon’ble Prime Minister of India Mr. Narendra Modi, is proposed to be a 36 hours Hackathon which will offer unique opportunities to all 10 ASEAN countries (Indonesia, Malaysia, Philippines, Singapore, Thailand, Brunei, Laos, Myanmar, Cambodia and Vietnam) and India to forward their economic development through collaboration in education, science and technology, exchange of thoughtful leadership, work and collaboration on projects involving varied skilled individuals to develop cross country bonds and learn from each other’s strengths and also get acquainted with each other’s culture, values and work ethics.",Type: Software Development,2020,ASEAN INDIA Hackathon initiative Hon ble Prime Minister India Mr Narendra Modi proposed hour Hackathon offer unique opportunity ASEAN country Indonesia Malaysia Philippines Singapore Thailand Brunei Laos Myanmar Cambodia Vietnam India forward economic development collaboration education science technology exchange thoughtful leadership work collaboration project involving varied skilled individual develop cross country bond learn strength also get acquainted culture value work ethic
11,Shopee UltraHackathon 2021,"Shopee believes that online shopping should be accessible, easy and enjoyable. This is the vision Shopee aspires to deliver on our platform, every single day. To become the top ecommerce platform in the region, we believe that having a strong technical team is key. In Shopee Ultra-Hackathon 2021, we are looking for talented and enthusiastic developers across the region to come together to ideate and build a better platform for millions of users across the region! We would love to work with the best minds to make the Shopee platform better than ever.",Type: Software Development,2020,Shopee belief online shopping accessible easy enjoyable vision Shopee aspires deliver platform every single day become top ecommerce platform region believe strong technical team key Shopee Ultra Hackathon looking talented enthusiastic developer across region come together ideate build better platform million user across region would love work best mind make Shopee platform better ever
12,Google Codejam 2021,"Code Jam is Google's longest running global coding competition, where programmers of all levels put their skills to the test. Competitors work their way through a series of online algorithmic puzzles to earn a spot at the World Finals, all for a chance to win the championship title and $15,000.",Type: Algorithm,2021,Code Jam Google longest running global coding competition programmer level put skill test Competitors work way series online algorithmic puzzle earn spot World Finals chance win championship title
13,Innolympics 2021,The inaugural NCS Innolympics is an annual tournament for Asia’s leading innovators to display their problem-solving prowess in a tournament of mental agility and creativity for maximum positive social impact. At NCS we're huge fans of innovating to solve problems for the greater good.,Type: Innovation,2021,inaugural NCS Innolympics annual tournament Asia leading innovator display problem solving prowess tournament mental agility creativity maximum positive social impact NCS huge fan innovating solve problem greater good
14,Hack For Good 2021,"DSC SoC presents Hack For Good,a student-run hackathon whichseeks to inspire students to learnand use technology for socialcauses. Our innovation challengeis unique in that we are posingreal problem statements providedby NPOs in Singapore.",Type: Software Development,2021,DSC SoC present Hack Good student run hackathon whichseeks inspire student learnand use technology socialcauses innovation challengeis unique posingreal problem statement providedby NPOs Singapore
15,2021 Better Working World Data Challenge,"In close partnership with Microsoft, the 2021 Better Working World Data Challenge is aimed at attracting students with an interest in making a real-world impact. The Challenge is a global 12-week challenge for students with an interest in data science, culminating in an awards ceremony with cash prizes for winners. Participants will use satellite data supplied by NASA to help tackle climate change and the fight against bushfires using applied AI. The solutions from the Challenge will help to reduce fatalities, damage and trauma by allowing fire authorities to answer critical questions, such as who they need to warn and what locations need to be evacuated.",Type: Data Science,2021,close partnership Microsoft Better Working World Data Challenge aimed attracting student interest making real world impact Challenge global week challenge student interest data science culminating award ceremony cash prize winner Participants use satellite data supplied NASA help tackle climate change fight bushfires using applied AI solution Challenge help reduce fatality damage trauma allowing fire authority answer critical question need warn location need evacuated
16,2021 UAiTED Innovation Competition,"The 2021 UAiTED Innovation Competition is designed to: Leverage high-tech innovation to facilitate ideas and solutions for problems related to some categories among the 17 Sustainable Development Goals (SDGs) announced by the United Nations (UN). Facilitate cross-regional, multicultural, and interdisciplinary global talent development.",Type: Innovation,2021,UAiTED Innovation Competition designed Leverage high tech innovation facilitate idea solution problem related category among Sustainable Development Goals SDGs announced United Nations UN Facilitate cross regional multicultural interdisciplinary global talent development
17,CODE_EXP 2021,"Harness the power of mobile app technologies to tackle some of the biggest challenges we face today! Form teams to design and develop solutions that leverage hybrid mobile application and cloud technologies and compete in this exciting hackathon. Online training will be provided on the afternoons of 7, 8, 10 and 11 June to ensure you have an engaging and fruitful Hackathon experience.",Type: Mobile App Development,2021,Harness power mobile app technology tackle biggest challenge face today Form team design develop solution leverage hybrid mobile application cloud technology compete exciting hackathon Online training provided afternoon June ensure engaging fruitful Hackathon experience
18,Cyber Defenders Discovery Camp 2021,Put your cybersecurity skills to the test! Take part in an exhilarating 48-hour team Jeopardy-style Capture-The-Flag competition from 23 to 25 June.,Type: Capture-The-Flag (CTF),2021,Put cybersecurity skill test Take part exhilarating hour team Jeopardy style Capture Flag competition June
19,XRperience 2021,"Come experience the possibilities enabled by eXtended Reality (XR) – from hands-on creation of XR content to developing XR solutions for real use cases. Featuring hands-on workshops and a competition, XR will definitely captivate your attention.",Type: Extended Reality,2021,Come experience possibility enabled eXtended Reality XR hand creation XR content developing XR solution real use case Featuring hand workshop competition XR definitely captivate attention
20,Hack Alliance 2021,"NTU CoE and Dell are organising a university-wide hackathon, spanning across eight weeks between 14 May to 23 July. This is YOUR chance to attain product management and business communication skills from product ideation and development to marketing. You will also be under the guidance of industry mentors from Dell through the entire journey. All you need to do is form a team of five with at least one member each from business, engineering, and any other discipline.",Type: Product Development,2021,NTU CoE Dell organising university wide hackathon spanning across eight week May July chance attain product management business communication skill product ideation development marketing also guidance industry mentor Dell entire journey need form team five least one member business engineering discipline
21,Lifesavers' Innovation Challenge 2021,"We are looking for innovative solutions that can radically improve our society’s readiness to respond. Participants would present an innovative business idea, integrating the use of AI, ML and IoT capabilities from IBM cloud, to craft their response to one of the problem statements.",Type: Innovation,2021,looking innovative solution radically improve society readiness respond Participants would present innovative business idea integrating use AI ML IoT capability IBM cloud craft response one problem statement
