,Unnamed: 0,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
6,6,ChallengeServer,2022-07-05 08:21:06+00:00,0,WordPress.com,"Asia’s largest, prized hackathon coming to Singapore in July 2022 https://t.co/98g4JfYSer",Positive
7,7,PressRelease_cc,2022-07-05 05:35:24+00:00,0,WordPress.com,"Asia’s largest, prized hackathon coming to Singapore in July 2022 https://t.co/eqa9NsucZW",Positive
18,18,Infinideas,2022-06-15 02:08:27+00:00,8,Twitter for iPhone,"Going to #CannesLions - winning prize of a global hackathon three years ago!!! So why not make it a tour to meet clients, my #IBMGarage project teams, &amp; designers around the world? 

#Singapore 15-18 Jun
#Cannes 19-26 Jun
#London 26 Jun - 5 July

Let's meet up! 
#CatchMeIfYouCan https://t.co/IE0u6Mdgw0",Positive
32,32,IHLDAO,2022-05-20 15:10:42+00:00,0,Twitter Web App,"Hey @t_blom we're setting up the world's first international hackathon league with top unis from EU, US &amp; Asia (Oxford, Cambridge, Princeton, Yale, Singapore etc.)

Would be great to show your support for #teamoxford with a retweet on the pinned tweet at the top?",Positive
46,46,CryptoBabyFil,2022-05-12 01:28:20+00:00,1,Twitter for Android,"💫The Asia #Filecoin community is hosting a collaborative 4-day event on August 16th-19th called the #FIL-Singapore #Summit.

There will be: 
🌟Speakers &amp; builders from across the #Web3 ecosystem
🌟In-depth expert-led sessions 
🌟#Hackathon with prizes up to $100K &amp; more! 💰 https://t.co/USXPH0csYd",Positive
88,88,PennyLaneAI,2022-02-08 02:00:06+00:00,34,Sprout Social,"#QHack2022 Prize Announcement 📣 

Enter the QAOA Challenge in the QHack Open Hackathon for your chance to win a 12-week paid internship at @EntropicaLabs! 🤩 

This internship can be remote or in-person (Singapore)

Sign up today at https://t.co/EdmmMI4ne2 https://t.co/DOr3bVFrc3",Positive
91,91,agorize,2022-01-12 10:30:00+00:00,0,Zoho Social,"Time is running out to enter the Huawei Hackathon Singapore 2022. Entries close on 16th January 2022. Don’t miss out on cash prizes, unique employment opportunities, and the chance to work with a leading global technology innovator! 
Enter today 👉🏻https://t.co/jnEKMX7DxE",Positive
98,98,Hannidew,2021-12-30 11:01:42+00:00,0,Twitter for Android,"Could you showcase your database skills to create a unique cloud-based product solution for Huawei? Enter the Huawei Hackathon Singapore Challenge - your opportunity to compete for cash prizes, employment opportunities and more https://t.co/qTvWiq0jND",Positive
105,105,genie_sg,2021-12-16 12:10:47+00:00,5,EveryoneSocial,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/IQD8fSHwrJ https://t.co/KksWktGkg8",Positive
111,111,sanleeyiqian,2021-12-05 16:01:08+00:00,0,EveryoneSocial,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/xfDXrphLtG https://t.co/GbGKhS3XKb",Positive
114,114,Ruksana63232544,2021-12-03 15:33:16+00:00,0,EveryoneSocial,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/5xbI6saWfW https://t.co/5izd61F4AT",Positive
116,116,PetrFedorovCHR,2021-12-03 06:56:03+00:00,0,EveryoneSocial,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/wpDsfSaDTe https://t.co/FQn7XsWHqJ",Positive
118,118,PwC_Singapore,2021-11-18 10:32:52+00:00,1,Twitter Web App,Registration is closing soon! Sign up for our Hackathon Challenge 2021 by 24 November if you’re a penultimate or final year university student in Singapore with a passion for #CyberSecurity and stand a chance to win cash prizes and an internship with us. https://t.co/FfMZ0kD3EI,Positive
119,119,agorize,2021-11-18 10:00:01+00:00,0,Zoho Social,"Enter the Huawei Hackathon Singapore Challenge - your opportunity to compete for cash prizes, employment opportunities, and the prestige of working with a leading global brand! 👉🏻 https://t.co/IE7uKSWcJq https://t.co/66NDhft6Ay",Positive
120,120,PwC_Singapore,2021-11-12 10:10:26+00:00,1,Twitter Web App,Calling all penultimate &amp; final year uni students in Singapore: We’re looking for creative minds to help enhance #CloudSecurity for companies at our Hackathon Challenge 2021! Register by 19 Nov to stand a chance to win cash prizes &amp; an internship with us. https://t.co/FfMZ0kD3EI,Positive
123,123,Yen_zv,2021-11-03 05:39:40+00:00,0,Twitter Web App,@mindsgn hello，we're a team in Singapore and we're about to host a high-prize hackathon. would u like to do something with us?,Positive
